Plot_clean,Date,Month,Site,Zone,Replicate,Plot_ID,TIMESTAMP,HM81_AIC,HM81_flux.estimate,HM81_p.value,HM81_r.squared,HM81_RMSE,lin_AIC,lin_flux.estimate,lin_flux.std.error,lin_int.estimate,lin_int.std.error,lin_p.value,lin_r.squared,lin_RMSE,poly_AIC,poly_r.squared,poly_RMSE,rob_AIC,rob_converged,rob_flux.estimate,rob_flux.std.error,rob_RMSE,TIMESTAMP_min,TIMESTAMP_max
2022-10-14_CRC_TR_309_71,10/14/2022,Oct,CRC,TR,309,71,44:29.5,-1249.526402,0.002924799,3.07E-128,0.660309412,0.075803737,-3961.131568,0.002495634,5.10E-06,68.8000482,0.000527611,0,0.997759847,0.006155845,-4510.789128,0.999196476,0.003693662,-3958.141212,TRUE,0.002490625,5.22E-06,0.006382388,10/14/2022 10:43,10/14/2022 10:45
2022-10-14_CRC_TR_311_72,10/14/2022,Oct,CRC,TR,311,72,33:24.5,NA,NA,NA,NA,NA,-3887.603646,0.002903161,6.08E-06,67.89045419,0.000664659,0,0.997512444,0.007965601,-4180.30348,0.998521874,0.006151113,-3885.098521,TRUE,0.002911028,6.31E-06,0.008495113,10/14/2022 10:31,10/14/2022 10:34
2022-10-14_CRC_TR_312_73,10/14/2022,Oct,CRC,TR,312,73,26:29.5,NA,NA,NA,NA,NA,-4209.66108,0.000592788,4.05E-06,68.39147171,0.000419154,0,0.975500171,0.004890439,-4246.321644,0.977277201,0.004718522,-4209.596247,TRUE,0.000591822,3.94E-06,0.004769535,10/14/2022 10:25,10/14/2022 10:27
2022-10-14_CRC_TR_313_74,10/14/2022,Oct,CRC,TR,313,74,19:44.5,NA,NA,NA,NA,NA,-5971.674387,0.00049609,2.73E-06,67.5476835,0.000424003,0,0.976157144,0.006050436,-6732.201547,0.990722205,0.003778924,-5971.53758,TRUE,0.00049682,2.86E-06,0.006773916,10/14/2022 11:17,10/14/2022 11:21
2022-10-14_CRC_TR_314_75,10/14/2022,Oct,CRC,TR,314,75,06:29.5,-4932.719529,0.000564135,2.75E-254,0.725443917,0.015583241,-6372.710684,0.000333386,2.70E-06,67.55494131,0.000465638,0,0.944567538,0.007002036,-7186.711728,0.977662311,0.004449852,-6372.0119,TRUE,0.000333269,2.82E-06,0.007676446,10/14/2022 10:04,10/14/2022 10:08
2022-10-14_CRC_TR_315_76,10/14/2022,Oct,CRC,TR,315,76,13:19.5,-3513.648002,0.00062099,6.72E-154,0.689243294,0.012902824,-4926.994126,0.000394294,2.81E-06,67.39818508,0.000323225,0,0.970528213,0.003973541,-5045.876923,0.975986197,0.003592795,-4926.318676,TRUE,0.000392152,2.85E-06,0.003698937,10/14/2022 10:11,10/14/2022 10:14
2022-10-14_CRC_TR_316_77,10/14/2022,Oct,CRC,TR,316,77,30:59.5,-1653.03739,0.002087222,7.25E-169,0.656725456,0.076561801,-5636.629982,0.001882242,2.59E-06,67.32044701,0.000357763,0,0.998642339,0.004814896,-5725.903161,0.998807303,0.004519205,-5636.591053,TRUE,0.001882751,2.70E-06,0.00507819,10/14/2022 11:29,10/14/2022 11:32
2022-10-14_CRC_TR_327_78,10/14/2022,Oct,CRC,TR,327,78,00:59.5,-4643.170556,0.000594068,3.05E-169,0.65755051,0.009598597,-5312.295091,0.00021986,3.24E-06,68.8938196,0.000448138,3.39147064117792e-314,0.864796028,0.006031207,-5423.811761,0.884837437,0.00557405,-5309.275065,TRUE,0.00022153,2.96E-06,0.005172303,10/14/2022 10:59,10/14/2022 11:02
2022-10-14_CRC_UP_301_63,10/14/2022,Oct,CRC,UP,301,63,14:29.5,NA,NA,NA,NA,NA,-4409.376047,0.000183022,3.37E-06,65.79499821,0.000348388,1.01E-220,0.846013644,0.004064785,-4531.537544,0.878096274,0.003623379,-4409.295562,TRUE,0.00018248,3.38E-06,0.004211155,10/14/2022 13:13,10/14/2022 13:15
2022-10-14_CRC_UP_302_64,10/14/2022,Oct,CRC,UP,302,64,20:29.5,NA,NA,NA,NA,NA,-7077.467637,-9.08E-05,1.82E-06,65.79649592,0.000314781,6.20E-261,0.734642583,0.004733521,-7468.750338,0.828963898,0.003804493,-7077.466718,TRUE,-9.08E-05,1.87E-06,0.004725747,10/14/2022 13:18,10/14/2022 13:22
