Plot_ID,Label_field,DATE,Time_start,First_Timestamp,Last_Timestamp,Total_Time,VOLUME_TOTAL,VOLUME_cm3,COLLAR_HEIGHT_cm,AREA_cm2
CRC_UP_25,UpS25,7/8/2022,10:35 AM,7/8/2022 10:35:18,7/8/2022 10:37:18,120,6598.26,4244.1,7.15,318
CRC_UP_25,UpS25,7/8/2022,10:38 AM,7/8/2022 10:38:18,7/8/2022 10:40:18,120,6598.26,4244.1,7.15,318
CRC_UP_31,UpS31,7/8/2022,10:42 AM,7/8/2022 10:42:54,7/8/2022 10:44:54,120,6486.96,4244.1,6.8,318
CRC_UP_31,UpS31,7/8/2022,10:45 AM,7/8/2022 10:45:55,7/8/2022 10:47:55,120,6486.96,4244.1,6.8,318
CRC_UP_26,UpS26,7/8/2022,10:51 AM,7/8/2022 10:51:34,7/8/2022 10:53:34,120,6868.56,4244.1,8,318
CRC_UP_26,UpS26,7/8/2022,10:54 AM,7/8/2022 10:54:34,7/8/2022 10:54:59,25,6868.56,4244.1,8,318
CRC_UP_26_B,UpS26b,7/8/2022,10:58 AM,7/8/2022 10:58:06,7/8/2022 11:00:06,120,6868.56,4244.1,8,318
CRC_UP_26_B,UpS26b,7/8/2022,11:01 AM,7/8/2022 11:01:07,7/8/2022 11:03:07,120,6868.56,4244.1,8,318
CRC_UP_32,UpS32,7/8/2022,11:06 AM,7/8/2022 11:06:03,7/8/2022 11:08:03,120,6645.96,4244.1,7.3,318
CRC_UP_32,UpS32,7/8/2022,11:09 AM,7/8/2022 11:09:04,7/8/2022 11:11:03,119,6645.96,4244.1,7.3,318
CRC_UP_27,UpS27,7/8/2022,11:13 AM,7/8/2022 11:13:44,7/8/2022 11:15:44,120,6486.96,4244.1,6.8,318
CRC_UP_27,UpS27,7/8/2022,11:16 AM,7/8/2022 11:16:44,7/8/2022 11:18:44,120,6486.96,4244.1,6.8,318
CRC_UP_30,UpS30,7/8/2022,11:21 AM,7/8/2022 11:21:47,7/8/2022 11:23:47,120,6709.56,4244.1,7.5,318
CRC_UP_30,UpS30,7/8/2022,11:24 AM,7/8/2022 11:24:48,7/8/2022 11:26:47,119,6709.56,4244.1,7.5,318
CRC_UP_29,UpS29,7/8/2022,11:31 AM,7/8/2022 11:31:16,7/8/2022 11:33:16,120,26902.56,4244.1,71,318
CRC_UP_29,UpS29,7/8/2022,11:34 AM,7/8/2022 11:34:17,7/8/2022 11:36:17,120,26902.56,4244.1,71,318
CRC_UP_28,UpS28,7/8/2022,11:39 AM,7/8/2022 11:39:31,7/8/2022 11:41:31,120,6455.16,4244.1,6.7,318
CRC_UP_28,UpS28,7/8/2022,11:42 AM,7/8/2022 11:42:31,7/8/2022 11:42:56,25,6455.16,4244.1,6.7,318
CRC_UP_28_B,UpS28b,7/8/2022,11:45 AM,7/8/2022 11:45:57,7/8/2022 11:47:57,120,6455.16,4244.1,6.7,318
CRC_UP_28_B,UpS28b,7/8/2022,11:48 AM,7/8/2022 11:48:58,7/8/2022 11:50:58,120,6455.16,4244.1,6.7,318
CRC_UP_29_B,UpS29b,7/8/2022,11:53 AM,7/8/2022 11:53:13,7/8/2022 11:55:13,120,6582.36,4244.1,7.1,318
CRC_UP_29_B,UpS29b,7/8/2022,11:56 AM,7/8/2022 11:56:14,7/8/2022 11:58:13,119,6582.36,4244.1,7.1,318
CRC_W_41,WeS41,7/8/2022,1:01 PM,7/8/2022 13:01:42,7/8/2022 13:03:42,120,5914.56,4244.1,5,318
CRC_W_41,WeS41,7/8/2022,1:04 PM,7/8/2022 13:04:42,7/8/2022 13:06:42,120,5914.56,4244.1,5,318
CRC_W_42,WeS42,7/8/2022,1:12 PM,7/8/2022 13:12:29,7/8/2022 13:14:29,120,7027.56,4244.1,8.5,318
CRC_W_42,WeS42,7/8/2022,1:15 PM,7/8/2022 13:15:30,7/8/2022 13:17:30,120,7027.56,4244.1,8.5,318
CRC_W_43,WeS43,7/8/2022,1:22 PM,7/8/2022 13:22:10,7/8/2022 13:24:10,120,6868.56,4244.1,8,318
CRC_W_43,WeS43,7/8/2022,1:25 PM,7/8/2022 13:25:10,7/8/2022 13:27:10,120,6868.56,4244.1,8,318
CRC_W_45,WeS45,7/8/2022,1:35 PM,7/8/2022 13:35:46,7/8/2022 13:37:46,120,6868.56,4244.1,8,318
CRC_W_45,WeS45,7/8/2022,1:38 PM,7/8/2022 13:38:47,7/8/2022 13:40:47,120,6868.56,4244.1,8,318
CRC_W_44,WeS44,7/8/2022,1:45 PM,7/8/2022 13:45:28,7/8/2022 13:47:28,120,7186.56,4244.1,9,318
CRC_W_44,WeS44,7/8/2022,1:48 PM,7/8/2022 13:48:28,7/8/2022 13:50:28,120,7186.56,4244.1,9,318
CRC_TR_33,TrS33,7/8/2022,1:58 PM,7/8/2022 13:58:20,7/8/2022 14:00:20,120,7027.56,4244.1,8.5,318
CRC_TR_33,TrS33,7/8/2022,2:01 PM,7/8/2022 14:01:20,7/8/2022 14:03:20,120,7027.56,4244.1,8.5,318
CRC_TR_34,TrS34,7/8/2022,2:05 PM,7/8/2022 14:05:59,7/8/2022 14:07:59,120,7186.56,4244.1,9,318
