InstrumentSerialNumber,Plot_ID,SN,Date,Time_start,First_Timestamp,Last_Timestamp,Total_Time,drop,Notes
TG10-01028,2022_07_07_PTR_TR_10_1,TG10-01028,7/7/2022,13:19:06,7/7/2022 13:19,7/7/2022 13:21,60,FALSE,
TG10-01028,2022_07_07_PTR_TR_10_2,TG10-01028,7/7/2022,13:22:07,7/7/2022 13:22,7/7/2022 13:24,60,FALSE,
TG10-01028,2022_07_07_PTR_TR_11_1,TG10-01028,7/7/2022,13:38:33,7/7/2022 13:38,7/7/2022 13:40,60,FALSE,
TG10-01028,2022_07_07_PTR_TR_11_2,TG10-01028,7/7/2022,13:41:33,7/7/2022 13:41,7/7/2022 13:43,60,FALSE,
TG10-01028,2022_07_07_PTR_TR_11_b_1,TG10-01028,7/7/2022,13:46:17,7/7/2022 13:46,7/7/2022 13:48,60,FALSE,
TG10-01028,2022_07_07_PTR_TR_11_b_2,TG10-01028,7/7/2022,13:49:17,7/7/2022 13:49,7/7/2022 13:51,60,FALSE,
TG10-01028,2022_07_07_PTR_TR_12_1,TG10-01028,7/7/2022,13:29:12,7/7/2022 13:29,7/7/2022 13:31,60,FALSE,
TG10-01028,2022_07_07_PTR_TR_12_2,TG10-01028,7/7/2022,13:32:12,7/7/2022 13:32,7/7/2022 13:34,60,FALSE,
TG10-01028,2022_07_07_PTR_TR_13_1,TG10-01028,7/7/2022,14:03:44,7/7/2022 14:03,7/7/2022 14:05,60,FALSE,
TG10-01028,2022_07_07_PTR_TR_13_2,TG10-01028,7/7/2022,14:06:44,7/7/2022 14:06,7/7/2022 14:08,60,FALSE,
TG10-01028,2022_07_07_PTR_TR_14_1,TG10-01028,7/7/2022,14:11:12,7/7/2022 14:11,7/7/2022 14:13,60,FALSE,
TG10-01028,2022_07_07_PTR_TR_14_2,TG10-01028,7/7/2022,14:14:12,7/7/2022 14:14,7/7/2022 14:16,60,FALSE,
TG10-01028,2022_07_07_PTR_TR_15_1,TG10-01028,7/7/2022,14:18:01,7/7/2022 14:18,7/7/2022 14:20,60,FALSE,
TG10-01028,2022_07_07_PTR_TR_15_2,TG10-01028,7/7/2022,14:21:01,7/7/2022 14:21,7/7/2022 14:23,60,FALSE,
TG10-01028,2022_07_07_PTR_TR_16_1,TG10-01028,7/7/2022,13:55:32,7/7/2022 13:55,7/7/2022 13:57,60,FALSE,
TG10-01028,2022_07_07_PTR_TR_16_2,TG10-01028,7/7/2022,13:58:32,7/7/2022 13:58,7/7/2022 14:00,60,FALSE,
TG10-01028,2022_07_07_PTR_TR_9_1,TG10-01028,7/7/2022,13:09:54,7/7/2022 13:09,7/7/2022 13:11,60,FALSE,
TG10-01028,2022_07_07_PTR_TR_9_2,TG10-01028,7/7/2022,13:12:55,7/7/2022 13:12,7/7/2022 13:14,60,FALSE,
TG10-01028,2022_07_07_PTR_UP_1_1,TG10-01028,7/7/2022,11:14:02,7/7/2022 11:14,7/7/2022 11:16,60,FALSE,
TG10-01028,2022_07_07_PTR_UP_1_2,TG10-01028,7/7/2022,11:17:03,7/7/2022 11:17,7/7/2022 11:19,60,FALSE,
TG10-01028,2022_07_07_PTR_UP_2_1,TG10-01028,7/7/2022,11:31:08,7/7/2022 11:31,7/7/2022 11:33,60,FALSE,
TG10-01028,2022_07_07_PTR_UP_2_2,TG10-01028,7/7/2022,11:34:08,7/7/2022 11:34,7/7/2022 11:36,60,FALSE,
TG10-01028,2022_07_07_PTR_UP_3_1,TG10-01028,7/7/2022,11:41:44,7/7/2022 11:41,7/7/2022 11:43,60,FALSE,
TG10-01028,2022_07_07_PTR_UP_3_2,TG10-01028,7/7/2022,11:44:44,7/7/2022 11:44,7/7/2022 11:46,60,FALSE,
TG10-01028,2022_07_07_PTR_UP_3_a_1,TG10-01028,7/7/2022,11:50:11,7/7/2022 11:50,7/7/2022 11:52,60,FALSE,
TG10-01028,2022_07_07_PTR_UP_3_a_2,TG10-01028,7/7/2022,11:53:11,7/7/2022 11:53,7/7/2022 11:55,60,FALSE,
TG10-01028,2022_07_07_PTR_UP_4_1,TG10-01028,7/7/2022,12:03:50,7/7/2022 12:03,7/7/2022 12:05,60,FALSE,
TG10-01028,2022_07_07_PTR_UP_4_2,TG10-01028,7/7/2022,12:06:50,7/7/2022 12:06,7/7/2022 12:08,60,FALSE,
TG10-01028,2022_07_07_PTR_UP_5_1,TG10-01028,7/7/2022,12:14:30,7/7/2022 12:14,7/7/2022 12:16,60,FALSE,
TG10-01028,2022_07_07_PTR_UP_5_2,TG10-01028,7/7/2022,12:17:30,7/7/2022 12:17,7/7/2022 12:19,60,FALSE,
TG10-01028,2022_07_07_PTR_UP_5_b_1,TG10-01028,7/7/2022,12:21:52,7/7/2022 12:21,7/7/2022 12:23,60,FALSE,
