"RepNumber","Month","Site","Zone","Replicate","Plot","TIMESTAMP","HM81_AIC","HM81_flux.estimate","HM81_p.value","HM81_r.squared","HM81_RMSE","lin_AIC","lin_flux.estimate","lin_flux.std.error","lin_int.estimate","lin_int.std.error","lin_p.value","lin_r.squared","lin_RMSE","poly_AIC","poly_r.squared","poly_RMSE","rob_AIC","rob_converged","rob_flux.estimate","rob_flux.std.error","rob_RMSE","TIMESTAMP_min","TIMESTAMP_max","soilp_c","soilp_m","soilp_t","drop_CO2"
1,"Feb","CRC","TR",36,"2024_02_02_CRC_TR_36_b_1",2024-02-02 10:26:23.5,NA,NA,NA,NA,NA,149.295924435748,0.0200933954442672,0.00811447721744098,16996.5212749528,0.285182798668142,0.0165694108041887,0.105480469848506,0.929364505278201,114.511833409236,0.563816586345126,0.661823846443379,149.456189730616,TRUE,0.0197598086809758,0.00845963642700865,0.796123663581848,2024-02-02 10:25:57,2024-02-02 10:26:50,0.001,0,3,FALSE
1,"Feb","CRC","TR",36,"2024_02_02_CRC_TR_36_corrct_1",2024-02-02 10:30:58.5,174.789993115608,-0.235754977780723,2.87825900105026e-20,0.807880702796471,1.17680358584176,135.367567106436,-0.161027048064082,0.0071326547873505,17004.2693262442,0.250676710240592,1.55438522985785e-28,0.907420142852788,0.816914757431126,137.700886810116,0.910233922963677,0.820335075095436,135.372172691496,TRUE,-0.160818025368485,0.00735439536168518,0.825757802302918,2024-02-02 10:30:32,2024-02-02 10:31:25,0.001,0,3.05166666666667,FALSE
1,"Feb","CRC","TR",36,"2024_02_02_CRC_TR_36_corrctc_1",2024-02-02 10:35:23.5,NA,NA,NA,NA,NA,125.926151325677,-0.046419469069662,0.00653559237232871,17013.6095522167,0.229692988685555,3.39556759682547e-09,0.492417638754614,0.748532210892666,128.234127424321,0.508075519414494,0.751489852012858,126.452683646567,TRUE,-0.0435612892782599,0.00625608294964484,0.785708591138182,2024-02-02 10:34:57,2024-02-02 10:35:50,0.001,0,3.1,FALSE
2,"Feb","CRC","TR",36,"2024_02_02_CRC_TR_36_corrctc_2",2024-02-02 10:36:48.5,152.928240960398,-0.0288303671677751,3.55899291430066e-06,0.341043888256904,0.961152980655005,139.700085516509,-0.0518751394034437,0.00742460449624416,16999.4174103908,0.260937264657294,5.19200879973904e-09,0.484214442703782,0.850352240771259,134.176782779791,0.567607545913106,0.793999071685276,139.702484468924,TRUE,-0.0518358366281577,0.0078889666298758,0.900864345483072,2024-02-02 10:36:22,2024-02-02 10:37:15,0.001,0,3.2,FALSE
1,"Feb","CRC","TR",37,"2024_02_02_CRC_TR_37_1",2024-02-02 10:40:49.5,118.922538632529,-0.154051844724924,2.01263931425606e-11,0.582022063596237,0.701531618467076,117.584319172068,-0.0525775509296215,0.00604979146268239,16979.3988896342,0.21261954583816,1.04804276376757e-11,0.592253031999232,0.692892628704087,118.635704700633,0.613920682597402,0.687583599197572,117.846870763811,TRUE,-0.0505305675706233,0.00607223292896858,0.562087750048114,2024-02-02 10:40:23,2024-02-02 10:41:16,0.001,0,3.1,FALSE
2,"Feb","CRC","TR",37,"2024_02_02_CRC_TR_37_2",2024-02-02 10:42:14.5,NA,NA,NA,NA,NA,116.256550317961,-0.071152482118517,0.00597586971615522,16968.2857771374,0.210021570639986,1.79291253326631e-16,0.731637679388758,0.684426248732884,114.145115498555,0.760353890553066,0.659580410597466,116.499657466936,TRUE,-0.0739596296828198,0.0060631178659131,0.609085087583729,2024-02-02 10:41:48,2024-02-02 10:42:41,0.001,0,3.1,FALSE
1,"Feb","CRC","TR",39,"2024_02_02_CRC_TR_39_1",2024-02-02 10:45:51.5,213.517678475096,1.40027860748465,1.34199204383301e-26,0.890142074456085,1.6843700168716,258.050304375688,0.276983687199423,0.0222120464941804,17068.4460959784,0.780640996778217,2.98843290855304e-17,0.749397955103631,2.54398244620255,210.708355889593,0.903157167723265,1.612769181541,263.501913852171,TRUE,0.231674850675789,0.0114857059272692,1.10277656974863,2024-02-02 10:45:25,2024-02-02 10:46:18,0,0,2.92,FALSE
2,"Feb","CRC","TR",39,"2024_02_02_CRC_TR_39_2",2024-02-02 10:47:18.5,120.619461022122,0.149371547443527,7.41362109973482e-24,0.881324078112743,0.776986016372269,138.588190251722,0.139513191232586,0.00911324183309693,17022.9514404796,0.332414786991598,4.24857987719698e-20,0.830004661316384,0.9299303078604,113.725193530371,0.904558730167166,0.71177331687957,138.61607353586,TRUE,0.140767194370881,0.00948538379957877,1.08219962060143,2024-02-02 10:46:54,2024-02-02 10:47:43,0.000816666666666667,0,2.63666666666667,FALSE
1,"Feb","CRC","TR",40,"2024_02_02_CRC_TR_40_1",2024-02-02 10:51:00.5,186.68892289832,-0.747108788254832,2.8300783736202e-39,0.964195656332954,1.31387030555564,189.980940683209,-0.428781357395329,0.0118267378842698,17021.0006744256,0.415649969624816,1.38249330049945e-38,0.961944998929833,1.3545358632895,135.119842515088,0.987205541168657,0.800962657931707,190.01910874799,TRUE,-0.426523166684494,0.0127039282350712,1.22706122262205,2024-02-02 10:50:34,2024-02-02 10:51:27,0.001,0,2.455,FALSE
2,"Feb","CRC","TR",40,"2024_02_02_CRC_TR_40_2",2024-02-02 10:52:25.5,193.650409416998,-0.23071804801447,6.36471231900893e-25,0.872610156083013,1.40134910870551,134.067723946295,-0.241923813387788,0.00704732365081201,17015.9029374803,0.247677752737911,2.1152182648802e-37,0.95773881900991,0.807141641139239,135.022710451166,0.960055946250749,0.800242619214812,134.311617674208,TRUE,-0.238627599076324,0.00765580053399152,0.760658364380021,2024-02-02 10:51:59,2024-02-02 10:52:52,0.001,0,2.5,FALSE
