"Description","Latitude","Longitude"
"Crane Creek (CRC) one of the COMPASS_FME synoptic sites located in the Ottawa National Wildlife Refuge, approximately 2.9 miles west of the Ottawa National Wildlife Refuge Visitor Center, Ohio at the margin of the Crane Creek river. This synoptic site consists of three plots: upland ('UP'; located at 41.61524N, 83.22889W), transition ('TR'; 41.62192N, 83.23815W), and wetland ('WC'; 41.62185N, 83.2389W). The site was established in June 2022. ","41.61524 degrees","-83.22889 degrees"
"Old Woman Creek (OWC) site is located at Old Woman Creek National Estuarine Research Reserve. This synoptic site consists of three plots: upland ('UP'; located at 41.37618N, 82.50685W), transition ('TR'; 41.376017N, 82.507507W), and wetland ('WC'; 41.376445N, 82.509024W). The site was established in June 2022.","41.37618 degrees","-82.50685 degrees"
"Portage Rover (PTR), one of the COMPASS_FME synoptic sites located in the Ottawa National Wildlife Refuge’s Two Rivers unit, approximately 5.5 miles west of Port Clinton, Ohio at the confluence of the Portage and Little Portage rivers. This synoptic site consists of three plots: upland ('UP'; located at 41.50148N, 83.04611W), transition ('TR'; 41.502723N, 83.045662W), and wetland ('WC'; 41.50174N, 83.04372W). The site was established in June 2022.","41.50148 degrees","-83.04611 degrees"
