"Plot_clean","Date","Month","Site","Zone","Replicate","Row_ID","TIMESTAMP","co2_HM81_AIC","co2_HM81_flux.estimate","co2_HM81_p.value","co2_HM81_r.squared","co2_HM81_RMSE","co2_lin_AIC","co2_lin_flux.estimate","co2_lin_flux.std.error","co2_lin_int.estimate","co2_lin_int.std.error","co2_lin_p.value","co2_lin_r.squared","co2_lin_RMSE","co2_poly_AIC","co2_poly_r.squared","co2_poly_RMSE","co2_rob_AIC","co2_rob_converged","co2_rob_flux.estimate","co2_rob_flux.std.error","co2_rob_RMSE","TIMESTAMP_min","TIMESTAMP_max","CO2_initial","CO2_lin_pass","CO2_HM81_pass","CO2_poly_pass","CO2_neg_flux","CO2_rejected_model","CO2_rejected_negflux","CO2_flux_rejected","CO2_rejected_manual","ch4_HM81_AIC","ch4_HM81_flux.estimate","ch4_HM81_p.value","ch4_HM81_r.squared","ch4_HM81_RMSE","ch4_lin_AIC","ch4_lin_flux.estimate","ch4_lin_flux.std.error","ch4_lin_int.estimate","ch4_lin_int.std.error","ch4_lin_p.value","ch4_lin_r.squared","ch4_lin_RMSE","ch4_poly_AIC","ch4_poly_r.squared","ch4_poly_RMSE","ch4_rob_AIC","ch4_rob_converged","ch4_rob_flux.estimate","ch4_rob_flux.std.error","ch4_rob_RMSE","CH4_lin_pass","CH4_HM81_pass","CH4_poly_pass","CH4_neg_flux","CH4_rejected_model"
"2023-01-12_PTR_TR_1_26",2023-01-12,"Jan","PTR","TR",1,26,2023-01-12 11:23:00,-1673.22603686547,0.00148858256560525,7.66616871305778e-156,0.693855236720739,0.0598075056539857,-3046.56184302768,0.00122657108195488,8.97687223106676e-06,15.6338384424353,0.00155095223879874,0,0.968963464891483,0.0190427158915499,-3200.64734877781,0.976152265590524,0.0167202704462053,-3046.23662649745,TRUE,0.00122180799232851,9.77154049527287e-06,0.0205127511076438,2023-01-12 11:23:00,2023-01-12 11:27:59,443.27451,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-4314.43949426002,0.000196968767440283,1.38549391994597e-133,0.636668631385897,0.00662016272983943,-4796.86767726081,0.000115859458167896,2.08770071194977e-06,80.2667195571289,0.000360696243613066,4.7163904938198e-238,0.837404047019404,0.00442865738766581,-4836.56627417815,0.848825119977829,0.0042774456101661,-4796.60702294451,TRUE,0.000115881358468767,2.13534719255158e-06,0.00452544537449719,TRUE,TRUE,TRUE,FALSE,FALSE
"2023-01-12_PTR_TR_2_27",2023-01-12,"Jan","PTR","TR",2,27,2023-01-12 11:38:40,-373.386099546358,0.00385397401739869,4.58007659326997e-198,0.695794344695497,0.188771662824343,-3577.70776640278,0.00310894231449203,7.58227577552622e-06,15.3011501838221,0.00166021542239221,0,0.995511622621297,0.0229296719848001,-4132.39875083368,0.997848056183267,0.0158979940080795,-3575.36121119509,TRUE,0.00311989334604413,7.85521857633351e-06,0.0214867619068006,2023-01-12 11:38:40,2023-01-12 11:44:59,431.73007,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,-6065.95202289419,0.000216827747666491,1.47522510028097e-06,80.4006576795939,0.000323015349941763,0,0.966101624425827,0.00446124998016693,-6233.80976267665,0.972962129615721,0.00398957892846376,-6065.5339966557,TRUE,0.000216074500498907,1.55321963513585e-06,0.00439949135045892,TRUE,FALSE,TRUE,FALSE,FALSE
"2023-01-12_PTR_TR_3_28",2023-01-12,"Jan","PTR","TR",3,28,2023-01-12 11:53:00,-874.843159467215,0.00233758220297432,1.27435629594305e-142,0.661071346880153,0.116332239415802,-3306.50444263844,0.00229673144892157,7.22850823309835e-06,15.5087391332572,0.00124888388056814,0,0.994111385050224,0.0153338963794368,-3317.69583345933,0.994258607179968,0.0151663836797509,-3306.27698476226,TRUE,0.00229981378278197,7.66547962184989e-06,0.0154628925318569,2023-01-12 11:53:00,2023-01-12 11:57:59,439.34369,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-4029.37449674577,0.000411817431870335,8.67947370045774e-139,0.650926254254033,0.00839531754905699,-4892.4837857013,0.000156873882798428,1.92780727904537e-06,80.6278157116743,0.000333071134181957,0,0.917171871146498,0.00408947408001152,-4900.91071425024,0.918869726578169,0.00405412809469895,-4892.42874982561,TRUE,0.000156644588844049,1.96266808555116e-06,0.00443010594779818,TRUE,TRUE,TRUE,FALSE,FALSE
"2023-01-12_PTR_TR_4_29",2023-01-12,"Jan","PTR","TR",4,29,2023-01-12 12:05:00,-303.662389330742,-0.00680308710151531,7.78274202058183e-168,0.720846831171184,0.187248049408923,-1774.0558152858,-0.00403600188680494,2.59215121145968e-05,19.257605144482,0.00447851169230747,0,0.975926662181998,0.0549875254957235,-2564.3549795354,0.993593757067893,0.0284135295283915,-1774.04321055734,TRUE,-0.00403465538605748,2.67318219169204e-05,0.0694984602388558,2023-01-12 12:05:00,2023-01-12 12:09:59,547.90057,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,-4188.03036972835,0.000114452248490874,9.67401465068309e-106,0.549887759024618,0.00735559235325976,-4920.63117124882,0.000117699661215043,1.8831145424058e-06,80.965050757216,0.00032534948034029,2.16363339502773e-264,0.867246285594489,0.00399466699527907,-4923.11649648562,0.868673476890157,0.00397979705231215,-4920.49585544563,TRUE,0.000117933252604919,1.88221448080649e-06,0.00382470686675036,TRUE,TRUE,TRUE,FALSE,FALSE
"2023-01-12_PTR_TR_4_30",2023-01-12,"Jan","PTR","TR",4,30,2023-01-12 12:16:00,-1578.3102902463,0.00150388401426696,1.37654184864383e-143,0.663582500006625,0.0647301843932187,-3148.01060690478,0.00127059969822941,8.24915591012447e-06,15.5471176925872,0.0014252232289472,0,0.975413789089245,0.0174990050318375,-3216.57035606667,0.978214320757965,0.0164998717771959,-3147.8459573643,TRUE,0.00126984314541294,8.18020804242746e-06,0.0160297677853806,2023-01-12 12:16:00,2023-01-12 12:20:59,439.81253,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-3637.83970323639,0.000197818003716168,4.36370937639449e-127,0.618042777160083,0.0116342473983762,-4997.47109989761,0.000212666914034814,1.76631208244221e-06,81.1146976554733,0.000305169284820652,0,0.960383080287633,0.00374689293731451,-5003.42102889639,0.961034638785806,0.00372218321705298,-4997.33249372224,TRUE,0.000212587215026899,1.85597980663978e-06,0.00387998417505198,TRUE,TRUE,TRUE,FALSE,FALSE
"2023-01-12_PTR_TR_5_31",2023-01-12,"Jan","PTR","TR",5,31,2023-01-12 12:24:00,-807.827365548586,0.00341336379252131,4.00421133575106e-161,0.706049860315594,0.123013822255507,-2749.86473317491,0.00260040617708468,1.1494850003654e-05,15.4435892746683,0.00198598831407277,0,0.98845004877515,0.0243841236904352,-3222.62410866153,0.994782166617768,0.0164168429336628,-2749.37269756005,TRUE,0.00259464102013586,1.18062905669696e-05,0.025751029094196,2023-01-12 12:24:00,2023-01-12 12:28:59,435.68756,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-4545.03790108085,0.000319577408242618,5.75733807535524e-146,0.6696836150376,0.00546276248901529,-4648.93320589103,9.31158323472843e-05,2.36160636044751e-06,81.2500305583991,0.000408019472441813,1.81354570076983e-168,0.722202593028288,0.00500969578402197,-4982.26090711545,0.84167034860521,0.00378840019277973,-4648.40459973186,TRUE,9.21755114423225e-05,2.52049940665897e-06,0.00470343602823739,TRUE,TRUE,TRUE,FALSE,FALSE
"2023-01-12_PTR_TR_6_32",2023-01-12,"Jan","PTR","TR",6,32,2023-01-12 12:37:30,-1205.83223161335,0.00187372863128427,6.2483383550002e-137,0.684643935167988,0.0789334548915906,-2887.20856271742,0.00178739291582444,9.18695140743656e-06,15.4380182966605,0.00142812531213077,0,0.985986200922499,0.0166394306347298,-2981.61170677526,0.988320741999541,0.0152186765717118,-2887.20323143178,TRUE,0.00178798155103838,9.55183849871704e-06,0.0159028438136133,2023-01-12 12:37:30,2023-01-12 12:41:59,435.00223,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,-4255.5355015477,0.000224885529051895,2.58781726144818e-06,81.4467771273689,0.000402280056826195,7.85346988003412e-319,0.93349726368922,0.00468706145352721,-4446.37307684762,0.953640196971872,0.00392067121542705,-4255.51791533773,TRUE,0.000225215862222344,2.61052299238852e-06,0.00522242187613195,TRUE,FALSE,TRUE,FALSE,FALSE
"2023-01-12_PTR_TR_7_33",2023-01-12,"Jan","PTR","TR",7,33,2023-01-12 11:02:25,NA,NA,NA,NA,NA,-3024.07512167655,0.00316062573293058,9.29952547319192e-06,15.3148402836297,0.00163354311414272,0,0.994764006778986,0.0202223949433,-3328.19323545008,0.99684040172474,0.0157349171920495,-3023.53693814694,TRUE,0.003163223827021,9.86261745231982e-06,0.0201956523883319,2023-01-12 11:02:25,2023-01-12 11:07:29,435.58896,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-4667.83651145325,0.000291594088324721,1.1883805742619e-156,0.689739604028643,0.00525639404772247,-4559.95992461675,8.49138562091396e-05,2.6406930584523e-06,80.7249179618299,0.00046386086845339,2.77284699643256e-133,0.629720252027124,0.00574235084424411,-4988.22272363184,0.817704088121779,0.00403579117067798,-4559.14340853344,TRUE,8.35632045352242e-05,2.70258769822751e-06,0.00578238505964148,TRUE,TRUE,TRUE,FALSE,FALSE
"2023-01-12_PTR_TR_8_34",2023-01-12,"Jan","PTR","TR",8,34,2023-01-12 11:16:50,NA,NA,NA,NA,NA,-2761.225418245,0.00133620321841463,9.44085903132266e-06,16.3281717443012,0.00135858193051588,0,0.975742689477368,0.015234998869465,-2775.0767328238,0.976593461471068,0.014995589114159,-2760.66240932793,TRUE,0.0013343022385436,9.04149698975922e-06,0.0137790794632663,2023-01-12 11:16:50,2023-01-12 11:20:59,463.60931,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-3472.36315545221,0.000247264857730753,1.04586492802444e-114,0.6470769737048,0.00748168176063192,-4156.6820888164,0.000166154009601105,2.33868850552998e-06,80.3508360135765,0.000336547758437728,8.75378961404588e-263,0.910197563217011,0.00377401215499225,-4191.24064243793,0.916862571518643,0.00363857524635219,-4156.37935347887,TRUE,0.000167429792066088,2.30602317351257e-06,0.00330644956387595,TRUE,TRUE,TRUE,FALSE,FALSE
"2023-01-12_PTR_UP_301_18",2023-01-12,"Jan","PTR","UP",301,18,2023-01-12 12:31:35,-282.7324873287,0.004368374279518,2.73595511141796e-130,0.673084077938712,0.184623380357804,-2775.33248213183,0.0042067902266107,9.98272334927981e-06,14.5820107930634,0.00152301159583213,0,0.997035571809775,0.0175808200714792,-2942.21191509971,0.997852573526361,0.0149917351971867,-2775.14556667694,TRUE,0.004202536674316,1.03835250400115e-05,0.0175151613468895,2023-01-12 12:31:35,2023-01-12 12:35:59,411.19934,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-3448.86364245448,0.000234949679762079,3.6440259176724e-104,0.589527531574979,0.00931291162552194,-4284.22789883861,0.000181430852442237,2.40456662931944e-06,81.8739932060128,0.000366852083471661,5.67621847659959e-285,0.915127520914332,0.00423474154104432,-4328.72027103279,0.922548274766172,0.00405306064902907,-4283.88915611395,TRUE,0.000181071380524255,2.41545183861268e-06,0.00433792746560969,TRUE,TRUE,TRUE,FALSE,FALSE
