"RepNumber","Month","Site","Zone","Replicate","Plot","TIMESTAMP","HM81_AIC","HM81_flux.estimate","HM81_p.value","HM81_r.squared","HM81_RMSE","lin_AIC","lin_flux.estimate","lin_flux.std.error","lin_int.estimate","lin_int.std.error","lin_p.value","lin_r.squared","lin_RMSE","poly_AIC","poly_r.squared","poly_RMSE","rob_AIC","rob_converged","rob_flux.estimate","rob_flux.std.error","rob_RMSE","TIMESTAMP_min","TIMESTAMP_max","soilp_c","soilp_m","soilp_t","drop_CO2"
1,"Jan","OWC","TR",58,"2023_01_05_OWC_TR_58_1",2023-01-05 11:06:43.5,260.015105319518,-0.601958817048328,2.00924821839254e-31,0.92828637726905,2.59068766115463,162.621249382139,-0.605494516141029,0.00918004783613507,16453.5405661633,0.322632211991353,8.40349403656255e-52,0.988188297219748,1.05140607177038,149.578700624071,0.991385144935121,0.915703518474723,162.632086288011,TRUE,-0.60502146907854,0.0092933718494144,1.0699149557223,2023-01-05 11:06:17,2023-01-05 11:07:10,0.005,0.202,6.5,FALSE
2,"Jan","OWC","TR",58,"2023_01_05_OWC_TR_58_2",2023-01-05 11:08:09.5,217.839456325489,-0.622222162568477,9.87705957158564e-33,0.936122811231418,1.7531393204882,180.257025136478,-0.429725694521965,0.010808432704958,16434.3681293266,0.379861697237997,1.34567594348906e-40,0.968151465562837,1.23790768579468,163.899882454239,0.978154231473284,1.04554773766859,180.396624936097,TRUE,-0.432253745588285,0.0101220129056472,1.07216323728212,2023-01-05 11:07:43,2023-01-05 11:08:36,0.005,0.202,6.5,FALSE
1,"Jan","OWC","TR",60,"2023_01_05_OWC_TR_60_1",2023-01-05 11:21:08.5,NA,NA,NA,NA,NA,150.222854423338,0.0236288655054767,0.0115685108234252,16447.3513422726,0.430088336096291,0.0468560631647756,0.0831515851830288,1.11033600224966,135.56087978511,0.378490612917256,0.934721164818691,150.23412165441,TRUE,0.0225248676374627,0.0116575887825324,1.08766597901498,2023-01-05 11:20:45,2023-01-05 11:21:32,0.00436666666666667,0.235266666666667,6.2,FALSE
2,"Jan","OWC","TR",60,"2023_01_05_OWC_TR_60_2",2023-01-05 11:22:31.5,168.61200356337,-0.151238393859038,5.26918552506339e-17,0.743906110811464,1.11137538118882,156.427514908845,-0.123337278104789,0.00866838953637637,16455.5417239414,0.304650012771748,1.44542611495333e-19,0.79563544095672,0.99280499989792,160.166138572384,0.796622237125729,1.01001905434865,156.430470952912,TRUE,-0.122885972054408,0.00893137496976983,0.907965299778924,2023-01-05 11:22:05,2023-01-05 11:22:58,0.005,0.234,6.2,FALSE
1,"Jan","OWC","TR",61,"2023_01_05_OWC_TR_61_1",2023-01-05 11:27:46.5,NA,NA,NA,NA,NA,178.80773181322,-0.0581421265615123,0.0106643590626603,16468.4199771767,0.374798238012743,1.3909323997674e-06,0.36371469915068,1.22140669309858,179.618867090006,0.400201360194138,1.20935487105861,178.818006355891,TRUE,-0.0570820151897665,0.0111424053796108,1.23475010374819,2023-01-05 11:27:20,2023-01-05 11:28:13,0.004,0.246316666666667,6.2,FALSE
2,"Jan","OWC","TR",61,"2023_01_05_OWC_TR_61_2",2023-01-05 11:29:11.5,147.253882991312,-0.637742489011348,8.26051531292159e-16,0.715513364470956,0.911957359240498,140.284810905087,-0.093226240142975,0.00746491123979727,16475.5543332897,0.262353842660245,2.81858901975802e-17,0.749957879246709,0.854968638818578,143.413510287842,0.75395998382832,0.864894510908851,140.329229648499,TRUE,-0.0930235992031162,0.00773867760538752,0.868862227322505,2023-01-05 11:28:45,2023-01-05 11:29:38,0.004,0.247,6.12666666666667,FALSE
1,"Jan","OWC","TR",63,"2023_01_05_OWC_TR_63_1",2023-01-05 11:11:41,NA,NA,NA,NA,NA,136.63419279758,0.0981918943710464,0.0106732763216702,16442.0765177515,0.40063902438625,6.63231147599497e-12,0.652874536350981,0.99255731305054,115.608299991516,0.796183418944941,0.778043972019843,137.180920770008,TRUE,0.105367855875364,0.00915011595550859,0.900672687320705,2023-01-05 11:11:18,2023-01-05 11:12:04,0.005,0.241666666666667,6.48333333333333,FALSE
2,"Jan","OWC","TR",63,"2023_01_05_OWC_TR_63_2",2023-01-05 11:13:02.5,NA,NA,NA,NA,NA,141.276062126059,-0.00657142000282542,0.00753374146404144,16452.7046515963,0.264772876623483,0.38707364000694,0.0144206644483089,0.862851878316174,142.219464777349,0.0686585449952339,0.855384922892416,141.584147754822,TRUE,-0.0106802915361394,0.00708223027915915,0.718511726307105,2023-01-05 11:12:36,2023-01-05 11:13:29,0.005,0.240583333333333,6.4,FALSE
1,"Jan","OWC","TR",64,"2023_01_05_OWC_TR_64_1",2023-01-05 11:34:21.5,NA,NA,NA,NA,NA,155.31090683137,-0.0215306291528399,0.00857922907938247,16429.7412877588,0.301516474039099,0.0152383972743691,0.108034313499552,0.9825933051967,158.112862536422,0.127605562403273,0.990998142740199,155.323551901149,TRUE,-0.0211610913549677,0.00896972096050899,1.16881250489297,2023-01-05 11:33:55,2023-01-05 11:34:48,0.004,0.1212,6.19,FALSE
2,"Jan","OWC","TR",64,"2023_01_05_OWC_TR_64_2",2023-01-05 11:35:46.5,124.63541079827,-0.0909703468187521,1.02048197180523e-09,0.514963937234264,0.7396395224442,133.785775778275,-0.0436121888896032,0.00702894968217904,16426.4631444721,0.247032000749584,9.13448884976779e-08,0.425399826942736,0.805037240102549,128.533115537382,0.515881898793451,0.753573165272926,133.846575971136,TRUE,-0.0446614563940111,0.00697587983846116,0.859536159865941,2023-01-05 11:35:20,2023-01-05 11:36:13,0.004,0.122,6.1,FALSE
