"InstrumentSerialNumber","Plot_ID","SN","Date","Time_start","First_Timestamp","Last_Timestamp","Total_Time","drop","Notes"
"TG10-01426","2024_02_02_CRC_TR_36_1","TG10-01426","2024-02-02","10:14:19",2024-02-02 10:14:19,2024-02-02 10:15:18,59,FALSE,""
"TG10-01426","2024_02_02_CRC_TR_36_2","TG10-01426","2024-02-02","10:15:45",2024-02-02 10:15:45,2024-02-02 10:16:44,59,FALSE,""
"TG10-01426","2024_02_02_CRC_TR_36_B_1","TG10-01426","2024-02-02","10:25:52",2024-02-02 10:25:52,2024-02-02 10:26:51,59,FALSE,""
"TG10-01426","2024_02_02_CRC_TR_36_CORRECTC_1","TG10-01426","2024-02-02","10:34:52",2024-02-02 10:34:52,2024-02-02 10:35:51,59,FALSE,""
"TG10-01426","2024_02_02_CRC_TR_36_CORRECTC_2","TG10-01426","2024-02-02","10:36:17",2024-02-02 10:36:17,2024-02-02 10:37:16,59,FALSE,""
"TG10-01426","2024_02_02_CRC_TR_36_CORRECT_1","TG10-01426","2024-02-02","10:30:27",2024-02-02 10:30:27,2024-02-02 10:31:26,59,FALSE,""
"TG10-01426","2024_02_02_CRC_TR_37_1","TG10-01426","2024-02-02","10:40:18",2024-02-02 10:40:18,2024-02-02 10:41:17,59,FALSE,""
"TG10-01426","2024_02_02_CRC_TR_37_2","TG10-01426","2024-02-02","10:41:43",2024-02-02 10:41:43,2024-02-02 10:42:42,59,FALSE,""
"TG10-01426","2024_02_02_CRC_TR_39_1","TG10-01426","2024-02-02","10:45:20",2024-02-02 10:45:20,2024-02-02 10:46:19,59,FALSE,""
"TG10-01426","2024_02_02_CRC_TR_39_2","TG10-01426","2024-02-02","10:46:45",2024-02-02 10:46:45,2024-02-02 10:47:44,59,FALSE,""
"TG10-01426","2024_02_02_CRC_TR_40_1","TG10-01426","2024-02-02","10:50:29",2024-02-02 10:50:29,2024-02-02 10:51:28,59,FALSE,""
"TG10-01426","2024_02_02_CRC_TR_40_2","TG10-01426","2024-02-02","10:51:54",2024-02-02 10:51:54,2024-02-02 10:52:53,59,FALSE,""
"TG10-01426","2024_02_02_CRC_TR_48_1","TG10-01426","2024-02-02","11:04:46",2024-02-02 11:04:46,2024-02-02 11:05:45,59,FALSE,""
"TG10-01426","2024_02_23_OWC_TR_58_1","TG10-01426","2024-02-23","11:22:50",2024-02-23 11:22:50,2024-02-23 11:23:49,59,FALSE,""
"TG10-01426","2024_02_23_OWC_TR_58_2","TG10-01426","2024-02-23","11:24:15",2024-02-23 11:24:15,2024-02-23 11:25:14,59,FALSE,""
"TG10-01426","2024_02_23_OWC_TR_60_1","TG10-01426","2024-02-23","11:38:59",2024-02-23 11:38:59,2024-02-23 11:39:58,59,FALSE,""
"TG10-01426","2024_02_23_OWC_TR_60_2","TG10-01426","2024-02-23","11:40:24",2024-02-23 11:40:24,2024-02-23 11:41:23,59,FALSE,""
"TG10-01426","2024_02_23_OWC_TR_61_1","TG10-01426","2024-02-23","11:44:39",2024-02-23 11:44:39,2024-02-23 11:45:38,59,FALSE,""
"TG10-01426","2024_02_23_OWC_TR_61_2","TG10-01426","2024-02-23","11:46:04",2024-02-23 11:46:04,2024-02-23 11:47:03,59,FALSE,""
"TG10-01426","2024_02_23_OWC_TR_62_1","TG10-01426","2024-02-23","11:49:38",2024-02-23 11:49:38,2024-02-23 11:50:37,59,FALSE,""
"TG10-01426","2024_02_23_OWC_TR_62_2","TG10-01426","2024-02-23","11:51:03",2024-02-23 11:51:03,2024-02-23 11:52:02,59,FALSE,""
"TG10-01426","2024_02_23_OWC_TR_63_1","TG10-01426","2024-02-23","11:29:46",2024-02-23 11:29:46,2024-02-23 11:30:45,59,FALSE,""
"TG10-01426","2024_02_23_OWC_TR_63_2","TG10-01426","2024-02-23","11:31:11",2024-02-23 11:31:11,2024-02-23 11:32:10,59,FALSE,""
"TG10-01426","2024_02_23_OWC_TR_RE_CONTROL1_1","TG10-01426","2024-02-23","11:55:00",2024-02-23 11:55:00,2024-02-23 11:55:59,59,FALSE,""
"TG10-01426","2024_02_23_OWC_TR_RE_CONTROL1_2","TG10-01426","2024-02-23","11:56:26",2024-02-23 11:56:26,2024-02-23 11:57:25,59,FALSE,""
"TG10-01426","2024_02_23_OWC_TR_RE_CONTROL1_B_1","TG10-01426","2024-02-23","11:58:13",2024-02-23 11:58:13,2024-02-23 11:59:12,59,FALSE,""
"TG10-01426","2024_02_23_OWC_TR_RE_CONTROL1_B_2","TG10-01426","2024-02-23","11:59:38",2024-02-23 11:59:38,2024-02-23 12:00:37,59,FALSE,""
"TG10-01426","2024_02_23_OWC_TR_RE_CONTROL2_1","TG10-01426","2024-02-23","12:05:23",2024-02-23 12:05:23,2024-02-23 12:06:22,59,FALSE,""
"TG10-01426","2024_02_23_OWC_TR_RE_CONTROL2_2","TG10-01426","2024-02-23","12:06:47",2024-02-23 12:06:47,2024-02-23 12:07:46,59,FALSE,""
"TG10-01426","2024_02_23_OWC_TR_RE_CONTROL3_1","TG10-01426","2024-02-23","12:01:48",2024-02-23 12:01:48,2024-02-23 12:02:47,59,FALSE,""
"TG10-01426","2024_02_23_OWC_TR_RE_CONTROL3_2","TG10-01426","2024-02-23","12:03:14",2024-02-23 12:03:14,2024-02-23 12:04:13,59,FALSE,""
"TG10-01426","2024_02_23_OWC_TR_RE_CONTROL8_1","TG10-01426","2024-02-23","12:22:26",2024-02-23 12:22:26,2024-02-23 12:23:25,59,FALSE,""
"TG10-01426","2024_02_23_OWC_TR_RE_CONTROL8_2","TG10-01426","2024-02-23","12:23:52",2024-02-23 12:23:52,2024-02-23 12:24:51,59,FALSE,""
"TG10-01426","2024_02_23_OWC_TR_RE_ROOTEXC4_1","TG10-01426","2024-02-23","12:09:12",2024-02-23 12:09:12,2024-02-23 12:10:11,59,FALSE,""
"TG10-01426","2024_02_23_OWC_TR_RE_ROOTEXC4_2","TG10-01426","2024-02-23","12:10:37",2024-02-23 12:10:37,2024-02-23 12:11:36,59,FALSE,""
"TG10-01426","2024_02_23_OWC_TR_RE_ROOTEXC5_1","TG10-01426","2024-02-23","12:12:50",2024-02-23 12:12:50,2024-02-23 12:13:49,59,FALSE,""
"TG10-01426","2024_02_23_OWC_TR_RE_ROOTEXC5_2","TG10-01426","2024-02-23","12:14:15",2024-02-23 12:14:15,2024-02-23 12:15:14,59,FALSE,""
"TG10-01426","2024_02_23_OWC_TR_RE_ROOTEXC6_1","TG10-01426","2024-02-23","12:16:00",2024-02-23 12:16:00,2024-02-23 12:16:59,59,FALSE,""
"TG10-01426","2024_02_23_OWC_TR_RE_ROOTEXC6_2","TG10-01426","2024-02-23","12:17:25",2024-02-23 12:17:25,2024-02-23 12:18:24,59,FALSE,""
"TG10-01426","2024_02_23_OWC_TR_RE_ROOTEXC7_1","TG10-01426","2024-02-23","12:19:02",2024-02-23 12:19:02,2024-02-23 12:20:01,59,FALSE,""
"TG10-01426","2024_02_23_OWC_TR_RE_ROOTEXC7_2","TG10-01426","2024-02-23","12:20:27",2024-02-23 12:20:27,2024-02-23 12:21:26,59,FALSE,""
"TG10-01426","2024_02_23_OWC_UP_50_1","TG10-01426","2024-02-23","12:46:18",2024-02-23 12:46:18,2024-02-23 12:47:17,59,FALSE,""
"TG10-01426","2024_02_23_OWC_UP_50_2","TG10-01426","2024-02-23","12:47:43",2024-02-23 12:47:43,2024-02-23 12:48:42,59,FALSE,""
"TG10-01426","2024_02_23_OWC_UP_51_1","TG10-01426","2024-02-23","12:50:04",2024-02-23 12:50:04,2024-02-23 12:51:03,59,FALSE,""
"TG10-01426","2024_02_23_OWC_UP_51_B_1","TG10-01426","2024-02-23","12:53:58",2024-02-23 12:53:58,2024-02-23 12:54:57,59,FALSE,""
"TG10-01426","2024_02_23_OWC_UP_51_B_2","TG10-01426","2024-02-23","12:55:23",2024-02-23 12:55:23,2024-02-23 12:56:22,59,FALSE,""
"TG10-01426","2024_02_23_OWC_UP_52_1","TG10-01426","2024-02-23","12:58:13",2024-02-23 12:58:13,2024-02-23 12:59:12,59,FALSE,""
"TG10-01426","2024_02_23_OWC_UP_52_2","TG10-01426","2024-02-23","12:59:38",2024-02-23 12:59:38,2024-02-23 13:00:37,59,FALSE,""
"TG10-01426","2024_02_23_OWC_UP_55_1","TG10-01426","2024-02-23","12:36:43",2024-02-23 12:36:43,2024-02-23 12:37:42,59,FALSE,""
"TG10-01426","2024_02_23_OWC_UP_55_C_1","TG10-01426","2024-02-23","12:41:08",2024-02-23 12:41:08,2024-02-23 12:42:07,59,FALSE,""
"TG10-01426","2024_02_23_OWC_UP_55_C_2","TG10-01426","2024-02-23","12:42:34",2024-02-23 12:42:34,2024-02-23 12:43:33,59,FALSE,""
"TG10-01426","2024_02_23_OWC_UP_56_1","TG10-01426","2024-02-23","12:31:43",2024-02-23 12:31:43,2024-02-23 12:32:42,59,FALSE,""
"TG10-01426","2024_02_23_OWC_UP_56_2","TG10-01426","2024-02-23","12:33:08",2024-02-23 12:33:08,2024-02-23 12:34:07,59,FALSE,""
"TG10-01426","2024_02_23_OWC_W_65_1","TG10-01426","2024-02-23","10:38:29",2024-02-23 10:38:29,2024-02-23 10:39:29,60,FALSE,""
"TG10-01426","2024_02_23_OWC_W_65_2","TG10-01426","2024-02-23","10:39:55",2024-02-23 10:39:55,2024-02-23 10:40:54,59,FALSE,""
"TG10-01426","2024_02_23_OWC_W_66_B_1","TG10-01426","2024-02-23","10:53:54",2024-02-23 10:53:54,2024-02-23 10:54:53,59,FALSE,""
"TG10-01426","2024_02_23_OWC_W_66_B_2","TG10-01426","2024-02-23","10:55:20",2024-02-23 10:55:20,2024-02-23 10:56:19,59,FALSE,""
"TG10-01426","2024_02_23_OWC_W_67_1","TG10-01426","2024-02-23","10:59:16",2024-02-23 10:59:16,2024-02-23 11:00:15,59,FALSE,""
"TG10-01426","2024_02_23_OWC_W_67_2","TG10-01426","2024-02-23","11:00:41",2024-02-23 11:00:41,2024-02-23 11:01:40,59,FALSE,""
"TG10-01426","2024_02_23_OWC_W_71_1","TG10-01426","2024-02-23","11:04:03",2024-02-23 11:04:03,2024-02-23 11:05:02,59,FALSE,""
"TG10-01426","2024_02_23_OWC_W_71_2","TG10-01426","2024-02-23","11:05:29",2024-02-23 11:05:29,2024-02-23 11:06:28,59,FALSE,""
"TG10-01426","2024_02_23_OWC_W_72_1","TG10-01426","2024-02-23","11:09:34",2024-02-23 11:09:34,2024-02-23 11:10:33,59,FALSE,""
"TG10-01426","2024_02_23_OWC_W_72_2","TG10-01426","2024-02-23","11:10:59",2024-02-23 11:10:59,2024-02-23 11:11:58,59,FALSE,""
"TG10-01426","2024_07_30_CRC_TR_33_1","TG10-01426","2024-07-30","12:08:56",2024-07-30 12:08:56,2024-07-30 12:09:55,59,FALSE,""
"TG10-01426","2024_07_30_CRC_TR_33_2","TG10-01426","2024-07-30","12:10:21",2024-07-30 12:10:21,2024-07-30 12:11:20,59,FALSE,""
"TG10-01426","2024_07_30_CRC_TR_34_1","TG10-01426","2024-07-30","11:34:14",2024-07-30 11:34:14,2024-07-30 11:35:13,59,FALSE,""
"TG10-01426","2024_07_30_CRC_TR_34_2","TG10-01426","2024-07-30","11:35:39",2024-07-30 11:35:39,2024-07-30 11:36:38,59,FALSE,""
"TG10-01426","2024_07_30_CRC_TR_36_1","TG10-01426","2024-07-30","11:39:31",2024-07-30 11:39:31,2024-07-30 11:40:30,59,FALSE,""
"TG10-01426","2024_07_30_CRC_TR_36_2","TG10-01426","2024-07-30","11:40:56",2024-07-30 11:40:56,2024-07-30 11:41:55,59,FALSE,""
"TG10-01426","2024_07_30_CRC_TR_37_1","TG10-01426","2024-07-30","11:44:05",2024-07-30 11:44:05,2024-07-30 11:45:04,59,FALSE,""
"TG10-01426","2024_07_30_CRC_TR_37_2","TG10-01426","2024-07-30","11:45:30",2024-07-30 11:45:30,2024-07-30 11:46:29,59,FALSE,""
"TG10-01426","2024_07_30_CRC_TR_38_1","TG10-01426","2024-07-30","11:51:01",2024-07-30 11:51:01,2024-07-30 11:52:00,59,FALSE,""
"TG10-01426","2024_07_30_CRC_TR_38_2","TG10-01426","2024-07-30","11:52:25",2024-07-30 11:52:25,2024-07-30 11:53:24,59,FALSE,""
"TG10-01426","2024_07_30_CRC_TR_38_A_1","TG10-01426","2024-07-30","11:54:02",2024-07-30 11:54:02,2024-07-30 11:55:01,59,FALSE,""
"TG10-01426","2024_07_30_CRC_TR_38_A_2","TG10-01426","2024-07-30","11:55:26",2024-07-30 11:55:26,2024-07-30 11:56:25,59,FALSE,""
"TG10-01426","2024_07_30_CRC_TR_39_1","TG10-01426","2024-07-30","11:58:14",2024-07-30 11:58:14,2024-07-30 11:59:13,59,FALSE,""
"TG10-01426","2024_07_30_CRC_TR_39_2","TG10-01426","2024-07-30","11:59:39",2024-07-30 11:59:39,2024-07-30 12:00:38,59,FALSE,""
"TG10-01426","2024_07_30_CRC_TR_40_1","TG10-01426","2024-07-30","12:03:10",2024-07-30 12:03:10,2024-07-30 12:04:09,59,FALSE,""
"TG10-01426","2024_07_30_CRC_TR_40_2","TG10-01426","2024-07-30","12:04:35",2024-07-30 12:04:35,2024-07-30 12:05:34,59,FALSE,""
"TG10-01426","2024_07_30_CRC_UP_25_1","TG10-01426","2024-07-30","12:44:35",2024-07-30 12:44:35,2024-07-30 12:45:34,59,FALSE,""
"TG10-01426","2024_07_30_CRC_UP_25_2","TG10-01426","2024-07-30","12:46:00",2024-07-30 12:46:00,2024-07-30 12:46:59,59,FALSE,""
"TG10-01426","2024_07_30_CRC_UP_25_A_1","TG10-01426","2024-07-30","18:39:55",2024-07-30 18:39:55,2024-07-30 18:40:54,59,FALSE,""
"TG10-01426","2024_07_30_CRC_UP_25_A_2","TG10-01426","2024-07-30","18:41:20",2024-07-30 18:41:20,2024-07-30 18:42:19,59,FALSE,""
"TG10-01426","2024_07_30_CRC_UP_26_1","TG10-01426","2024-07-30","12:50:06",2024-07-30 12:50:06,2024-07-30 12:51:05,59,FALSE,""
"TG10-01426","2024_07_30_CRC_UP_26_2","TG10-01426","2024-07-30","12:51:31",2024-07-30 12:51:31,2024-07-30 12:52:30,59,FALSE,""
"TG10-01426","2024_07_30_CRC_UP_26_A_1","TG10-01426","2024-07-30","12:53:04",2024-07-30 12:53:04,2024-07-30 12:54:03,59,FALSE,""
"TG10-01426","2024_07_30_CRC_UP_26_A_2","TG10-01426","2024-07-30","12:54:30",2024-07-30 12:54:30,2024-07-30 12:55:29,59,FALSE,""
"TG10-01426","2024_07_30_CRC_UP_26_B_1","TG10-01426","2024-07-30","18:36:23",2024-07-30 18:36:23,2024-07-30 18:37:22,59,FALSE,""
"TG10-01426","2024_07_30_CRC_UP_26_B_2","TG10-01426","2024-07-30","18:37:49",2024-07-30 18:37:49,2024-07-30 18:38:48,59,FALSE,""
"TG10-01426","2024_07_30_CRC_UP_27_1","TG10-01426","2024-07-30","13:08:44",2024-07-30 13:08:44,2024-07-30 13:09:43,59,FALSE,""
"TG10-01426","2024_07_30_CRC_UP_27_2","TG10-01426","2024-07-30","13:10:10",2024-07-30 13:10:10,2024-07-30 13:11:09,59,FALSE,""
"TG10-01426","2024_07_30_CRC_UP_27_A_1","TG10-01426","2024-07-30","18:25:33",2024-07-30 18:25:33,2024-07-30 18:26:32,59,FALSE,""
"TG10-01426","2024_07_30_CRC_UP_27_A_2","TG10-01426","2024-07-30","18:26:58",2024-07-30 18:26:58,2024-07-30 18:27:57,59,FALSE,""
"TG10-01426","2024_07_30_CRC_UP_28_A_1","TG10-01426","2024-07-30","18:18:24",2024-07-30 18:18:24,2024-07-30 18:19:23,59,FALSE,""
"TG10-01426","2024_07_30_CRC_UP_28_A_2","TG10-01426","2024-07-30","18:19:48",2024-07-30 18:19:48,2024-07-30 18:20:47,59,FALSE,""
"TG10-01426","2024_07_30_CRC_UP_29_D_1","TG10-01426","2024-07-30","18:14:44",2024-07-30 18:14:44,2024-07-30 18:15:43,59,FALSE,""
"TG10-01426","2024_07_30_CRC_UP_29_D_2","TG10-01426","2024-07-30","18:16:10",2024-07-30 18:16:10,2024-07-30 18:17:09,59,FALSE,""
"TG10-01426","2024_07_30_CRC_UP_30_1","TG10-01426","2024-07-30","18:22:01",2024-07-30 18:22:01,2024-07-30 18:23:00,59,FALSE,""
"TG10-01426","2024_07_30_CRC_UP_30_2","TG10-01426","2024-07-30","18:23:27",2024-07-30 18:23:27,2024-07-30 18:24:26,59,FALSE,""
"TG10-01426","2024_07_30_CRC_UP_31_1","TG10-01426","2024-07-30","18:43:16",2024-07-30 18:43:16,2024-07-30 18:44:15,59,FALSE,""
"TG10-01426","2024_07_30_CRC_UP_31_2","TG10-01426","2024-07-30","18:44:41",2024-07-30 18:44:41,2024-07-30 18:45:40,59,FALSE,""
"TG10-01426","2024_07_30_CRC_UP_32_1","TG10-01426","2024-07-30","18:29:41",2024-07-30 18:29:41,2024-07-30 18:30:40,59,FALSE,""
"TG10-01426","2024_07_30_CRC_UP_32_2","TG10-01426","2024-07-30","18:31:06",2024-07-30 18:31:06,2024-07-30 18:32:05,59,FALSE,""
"TG10-01426","2024_07_30_CRC_UP_32_A_1","TG10-01426","2024-07-30","18:32:38",2024-07-30 18:32:38,2024-07-30 18:33:37,59,FALSE,""
"TG10-01426","2024_07_30_CRC_UP_32_A_2","TG10-01426","2024-07-30","18:34:03",2024-07-30 18:34:03,2024-07-30 18:35:02,59,FALSE,""
"TG10-01426","2024_07_30_CRC_W_44_1","TG10-01426","2024-07-30","19:15:14",2024-07-30 19:15:14,2024-07-30 19:16:13,59,FALSE,""
