"InstrumentSerialNumber","Plot_ID","SN","Date","Time_start","First_Timestamp","Last_Timestamp","Total_Time","drop","Notes"
"TG10-01426","2024_02_02_CRC_TR_36_1","TG10-01426","2024-02-02","10:14:19",2024-02-02 10:14:19,2024-02-02 10:15:18,59,FALSE,""
"TG10-01426","2024_02_02_CRC_TR_36_2","TG10-01426","2024-02-02","10:15:45",2024-02-02 10:15:45,2024-02-02 10:16:44,59,FALSE,""
"TG10-01426","2024_02_02_CRC_TR_36_b_1","TG10-01426","2024-02-02","10:25:52",2024-02-02 10:25:52,2024-02-02 10:26:51,59,FALSE,""
"TG10-01426","2024_02_02_CRC_TR_36_corrct_1","TG10-01426","2024-02-02","10:30:27",2024-02-02 10:30:27,2024-02-02 10:31:26,59,FALSE,""
"TG10-01426","2024_02_02_CRC_TR_36_corrctc_1","TG10-01426","2024-02-02","10:34:52",2024-02-02 10:34:52,2024-02-02 10:35:51,59,FALSE,""
"TG10-01426","2024_02_02_CRC_TR_36_corrctc_2","TG10-01426","2024-02-02","10:36:17",2024-02-02 10:36:17,2024-02-02 10:37:16,59,FALSE,""
"TG10-01426","2024_02_02_CRC_TR_37_1","TG10-01426","2024-02-02","10:40:18",2024-02-02 10:40:18,2024-02-02 10:41:17,59,FALSE,""
"TG10-01426","2024_02_02_CRC_TR_37_2","TG10-01426","2024-02-02","10:41:43",2024-02-02 10:41:43,2024-02-02 10:42:42,59,FALSE,""
"TG10-01426","2024_02_02_CRC_TR_39_1","TG10-01426","2024-02-02","10:45:20",2024-02-02 10:45:20,2024-02-02 10:46:19,59,FALSE,""
"TG10-01426","2024_02_02_CRC_TR_39_2","TG10-01426","2024-02-02","10:46:45",2024-02-02 10:46:45,2024-02-02 10:47:44,59,FALSE,""
"TG10-01426","2024_02_02_CRC_TR_40_1","TG10-01426","2024-02-02","10:50:29",2024-02-02 10:50:29,2024-02-02 10:51:28,59,FALSE,""
"TG10-01426","2024_02_02_CRC_TR_40_2","TG10-01426","2024-02-02","10:51:54",2024-02-02 10:51:54,2024-02-02 10:52:53,59,FALSE,""
"TG10-01426","2024_02_02_CRC_TR_48_1","TG10-01426","2024-02-02","11:04:46",2024-02-02 11:04:46,2024-02-02 11:05:45,59,FALSE,""
"TG10-01426","2024_07_31_OWC_TR_55_1","TG10-01426","2024-07-31","11:40:45",2024-07-31 11:40:45,2024-07-31 11:41:44,59,FALSE,""
"TG10-01426","2024_07_31_OWC_TR_55_2","TG10-01426","2024-07-31","11:42:10",2024-07-31 11:42:10,2024-07-31 11:43:09,59,FALSE,""
"TG10-01426","2024_07_31_OWC_TR_56_1","TG10-01426","2024-07-31","11:37:01",2024-07-31 11:37:01,2024-07-31 11:38:00,59,FALSE,""
"TG10-01426","2024_07_31_OWC_TR_56_2","TG10-01426","2024-07-31","11:38:26",2024-07-31 11:38:26,2024-07-31 11:39:25,59,FALSE,""
"TG10-01426","2024_07_31_OWC_TR_57_1","TG10-01426","2024-07-31","11:30:40",2024-07-31 11:30:40,2024-07-31 11:31:39,59,FALSE,""
"TG10-01426","2024_07_31_OWC_TR_57_2","TG10-01426","2024-07-31","11:32:05",2024-07-31 11:32:05,2024-07-31 11:33:04,59,FALSE,""
"TG10-01426","2024_07_31_OWC_TR_58_1","TG10-01426","2024-07-31","10:47:02",2024-07-31 10:47:02,2024-07-31 10:48:01,59,FALSE,""
"TG10-01426","2024_07_31_OWC_TR_58_2","TG10-01426","2024-07-31","10:48:27",2024-07-31 10:48:27,2024-07-31 10:49:26,59,FALSE,""
"TG10-01426","2024_07_31_OWC_TR_59_1","TG10-01426","2024-07-31","11:11:56",2024-07-31 11:11:56,2024-07-31 11:12:55,59,FALSE,""
"TG10-01426","2024_07_31_OWC_TR_59_2","TG10-01426","2024-07-31","11:13:21",2024-07-31 11:13:21,2024-07-31 11:14:20,59,FALSE,""
"TG10-01426","2024_07_31_OWC_TR_60_1","TG10-01426","2024-07-31","11:18:35",2024-07-31 11:18:35,2024-07-31 11:19:34,59,FALSE,""
"TG10-01426","2024_07_31_OWC_TR_60_2","TG10-01426","2024-07-31","11:20:00",2024-07-31 11:20:00,2024-07-31 11:20:59,59,FALSE,""
"TG10-01426","2024_07_31_OWC_TR_60_a_1","TG10-01426","2024-07-31","11:21:33",2024-07-31 11:21:33,2024-07-31 11:22:32,59,FALSE,""
"TG10-01426","2024_07_31_OWC_TR_60_a_2","TG10-01426","2024-07-31","11:22:58",2024-07-31 11:22:58,2024-07-31 11:23:57,59,FALSE,""
"TG10-01426","2024_07_31_OWC_TR_61_1","TG10-01426","2024-07-31","14:48:02",2024-07-31 14:48:02,2024-07-31 14:49:01,59,FALSE,""
"TG10-01426","2024_07_31_OWC_TR_61_2","TG10-01426","2024-07-31","14:49:27",2024-07-31 14:49:27,2024-07-31 14:50:26,59,FALSE,""
"TG10-01426","2024_07_31_OWC_TR_63_1","TG10-01426","2024-07-31","10:54:40",2024-07-31 10:54:40,2024-07-31 10:55:39,59,FALSE,""
"TG10-01426","2024_07_31_OWC_TR_63_2","TG10-01426","2024-07-31","10:56:05",2024-07-31 10:56:05,2024-07-31 10:57:04,59,FALSE,""
"TG10-01426","2024_07_31_OWC_TR_64_1","TG10-01426","2024-07-31","10:59:57",2024-07-31 10:59:57,2024-07-31 11:00:56,59,FALSE,""
"TG10-01426","2024_07_31_OWC_TR_64_2","TG10-01426","2024-07-31","11:01:22",2024-07-31 11:01:22,2024-07-31 11:02:21,59,FALSE,""
"TG10-01426","2024_07_31_OWC_UP_49_1","TG10-01426","2024-07-31","11:53:39",2024-07-31 11:53:39,2024-07-31 11:54:38,59,FALSE,""
"TG10-01426","2024_07_31_OWC_UP_49_2","TG10-01426","2024-07-31","11:55:04",2024-07-31 11:55:04,2024-07-31 11:56:03,59,FALSE,""
"TG10-01426","2024_07_31_OWC_UP_51_1","TG10-01426","2024-07-31","12:08:53",2024-07-31 12:08:53,2024-07-31 12:09:52,59,FALSE,""
"TG10-01426","2024_07_31_OWC_UP_51_2","TG10-01426","2024-07-31","12:10:18",2024-07-31 12:10:18,2024-07-31 12:11:17,59,FALSE,""
"TG10-01426","2024_07_31_OWC_UP_52_1","TG10-01426","2024-07-31","12:04:09",2024-07-31 12:04:09,2024-07-31 12:05:08,59,FALSE,""
"TG10-01426","2024_07_31_OWC_UP_52_2","TG10-01426","2024-07-31","12:05:34",2024-07-31 12:05:34,2024-07-31 12:06:33,59,FALSE,""
"TG10-01426","2024_07_31_OWC_UP_53_1","TG10-01426","2024-07-31","11:57:52",2024-07-31 11:57:52,2024-07-31 11:58:51,59,FALSE,""
"TG10-01426","2024_07_31_OWC_UP_53_2","TG10-01426","2024-07-31","11:59:17",2024-07-31 11:59:17,2024-07-31 12:00:16,59,FALSE,""
"TG10-01426","2024_07_31_OWC_UP_54_1","TG10-01426","2024-07-31","11:46:26",2024-07-31 11:46:26,2024-07-31 11:47:25,59,FALSE,""
"TG10-01426","2024_07_31_OWC_UP_54_2","TG10-01426","2024-07-31","11:47:51",2024-07-31 11:47:51,2024-07-31 11:48:50,59,FALSE,""
"TG10-01426","2024_07_31_OWC_W_65_1","TG10-01426","2024-07-31","12:16:43",2024-07-31 12:16:43,2024-07-31 12:17:42,59,FALSE,""
"TG10-01426","2024_07_31_OWC_W_65_2","TG10-01426","2024-07-31","12:18:08",2024-07-31 12:18:08,2024-07-31 12:19:07,59,FALSE,""
"TG10-01426","2024_07_31_OWC_W_67_1","TG10-01426","2024-07-31","12:24:35",2024-07-31 12:24:35,2024-07-31 12:25:34,59,FALSE,""
"TG10-01426","2024_07_31_OWC_W_67_2","TG10-01426","2024-07-31","12:26:00",2024-07-31 12:26:00,2024-07-31 12:26:59,59,FALSE,""
"TG10-01426","2024_07_31_OWC_W_68_1","TG10-01426","2024-07-31","12:31:28",2024-07-31 12:31:28,2024-07-31 12:32:27,59,FALSE,""
"TG10-01426","2024_07_31_OWC_W_68_2","TG10-01426","2024-07-31","12:32:53",2024-07-31 12:32:53,2024-07-31 12:33:52,59,FALSE,""
"TG10-01426","2024_07_31_OWC_W_71_1","TG10-01426","2024-07-31","12:37:57",2024-07-31 12:37:57,2024-07-31 12:38:56,59,FALSE,""
"TG10-01426","2024_07_31_OWC_W_71_2","TG10-01426","2024-07-31","12:39:22",2024-07-31 12:39:22,2024-07-31 12:40:21,59,FALSE,""
"TG10-01426","2024_07_31_OWC_W_72_1","TG10-01426","2024-07-31","12:42:36",2024-07-31 12:42:36,2024-07-31 12:43:35,59,FALSE,""
"TG10-01426","2024_07_31_OWC_W_72_2","TG10-01426","2024-07-31","12:44:01",2024-07-31 12:44:01,2024-07-31 12:45:00,59,FALSE,""
"TG10-01426","2024_08_07_PTR_TR_11_1","TG10-01426","2024-08-07","11:26:59",2024-08-07 11:26:59,2024-08-07 11:27:58,59,FALSE,""
"TG10-01426","2024_08_07_PTR_TR_11_2","TG10-01426","2024-08-07","11:28:23",2024-08-07 11:28:23,2024-08-07 11:29:22,59,FALSE,""
"TG10-01426","2024_08_07_PTR_TR_12_1","TG10-01426","2024-08-07","11:33:17",2024-08-07 11:33:17,2024-08-07 11:34:16,59,FALSE,""
"TG10-01426","2024_08_07_PTR_TR_12_2","TG10-01426","2024-08-07","11:34:41",2024-08-07 11:34:41,2024-08-07 11:35:40,59,FALSE,""
"TG10-01426","2024_08_07_PTR_TR_13_1","TG10-01426","2024-08-07","11:42:37",2024-08-07 11:42:37,2024-08-07 11:43:36,59,FALSE,""
"TG10-01426","2024_08_07_PTR_TR_13_b_1","TG10-01426","2024-08-07","11:44:13",2024-08-07 11:44:13,2024-08-07 11:45:12,59,FALSE,""
"TG10-01426","2024_08_07_PTR_TR_13_b_2","TG10-01426","2024-08-07","11:45:39",2024-08-07 11:45:39,2024-08-07 11:46:38,59,FALSE,""
"TG10-01426","2024_08_07_PTR_TR_14_1","TG10-01426","2024-08-07","11:37:18",2024-08-07 11:37:18,2024-08-07 11:38:17,59,FALSE,""
"TG10-01426","2024_08_07_PTR_TR_14_2","TG10-01426","2024-08-07","11:38:43",2024-08-07 11:38:43,2024-08-07 11:39:42,59,FALSE,""
"TG10-01426","2024_08_07_PTR_UP_2_1","TG10-01426","2024-08-07","11:06:00",2024-08-07 11:06:00,2024-08-07 11:06:59,59,FALSE,""
"TG10-01426","2024_08_07_PTR_UP_2_2","TG10-01426","2024-08-07","11:07:25",2024-08-07 11:07:25,2024-08-07 11:08:24,59,FALSE,""
"TG10-01426","2024_08_07_PTR_UP_3_1","TG10-01426","2024-08-07","11:00:03",2024-08-07 11:00:03,2024-08-07 11:01:02,59,FALSE,""
"TG10-01426","2024_08_07_PTR_UP_3_2","TG10-01426","2024-08-07","11:01:28",2024-08-07 11:01:28,2024-08-07 11:02:27,59,FALSE,""
"TG10-01426","2024_08_07_PTR_UP_4_1","TG10-01426","2024-08-07","11:12:01",2024-08-07 11:12:01,2024-08-07 11:13:00,59,FALSE,""
"TG10-01426","2024_08_07_PTR_UP_4_2","TG10-01426","2024-08-07","11:13:26",2024-08-07 11:13:26,2024-08-07 11:14:25,59,FALSE,""
"TG10-01426","2024_08_07_PTR_UP_6_1","TG10-01426","2024-08-07","10:46:20",2024-08-07 10:46:20,2024-08-07 10:47:19,59,FALSE,""
"TG10-01426","2024_08_07_PTR_UP_6_2","TG10-01426","2024-08-07","10:47:45",2024-08-07 10:47:45,2024-08-07 10:48:44,59,FALSE,""
"TG10-01426","2024_08_07_PTR_UP_7_1","TG10-01426","2024-08-07","10:54:28",2024-08-07 10:54:28,2024-08-07 10:55:27,59,FALSE,""
"TG10-01426","2024_08_07_PTR_UP_7_2","TG10-01426","2024-08-07","10:55:53",2024-08-07 10:55:53,2024-08-07 10:56:52,59,FALSE,""
"TG10-01426","2024_08_07_PTR_UP_8_1","TG10-01426","2024-08-07","11:19:52",2024-08-07 11:19:52,2024-08-07 11:20:51,59,FALSE,""
"TG10-01426","2024_08_07_PTR_UP_8_2","TG10-01426","2024-08-07","11:21:17",2024-08-07 11:21:17,2024-08-07 11:22:16,59,FALSE,""
"TG10-01426","2024_08_07_PTR_W_18_1","TG10-01426","2024-08-07","11:51:39",2024-08-07 11:51:39,2024-08-07 11:52:38,59,FALSE,""
"TG10-01426","2024_08_07_PTR_W_18_2","TG10-01426","2024-08-07","11:53:04",2024-08-07 11:53:04,2024-08-07 11:54:03,59,FALSE,""
"TG10-01426","2024_08_07_PTR_W_19_1","TG10-01426","2024-08-07","12:14:40",2024-08-07 12:14:40,2024-08-07 12:15:39,59,FALSE,""
"TG10-01426","2024_08_07_PTR_W_19_2","TG10-01426","2024-08-07","12:16:05",2024-08-07 12:16:05,2024-08-07 12:17:04,59,FALSE,""
"TG10-01426","2024_08_07_PTR_W_21_1","TG10-01426","2024-08-07","11:56:24",2024-08-07 11:56:24,2024-08-07 11:57:23,59,FALSE,""
"TG10-01426","2024_08_07_PTR_W_21_2","TG10-01426","2024-08-07","11:57:49",2024-08-07 11:57:49,2024-08-07 11:58:48,59,FALSE,""
"TG10-01426","2024_08_07_PTR_W_22_1","TG10-01426","2024-08-07","12:02:10",2024-08-07 12:02:10,2024-08-07 12:03:09,59,FALSE,""
"TG10-01426","2024_08_07_PTR_W_22_2","TG10-01426","2024-08-07","12:03:35",2024-08-07 12:03:35,2024-08-07 12:04:34,59,FALSE,""
"TG10-01426","2024_08_07_PTR_W_23_1","TG10-01426","2024-08-07","12:06:58",2024-08-07 12:06:58,2024-08-07 12:07:57,59,FALSE,""
"TG10-01426","2024_08_07_PTR_W_23_2","TG10-01426","2024-08-07","12:08:23",2024-08-07 12:08:23,2024-08-07 12:09:22,59,FALSE,""
"TG10-01448","2024_02_02_CRC_UP_25_b_1","TG10-01448","2024-02-02","12:48:27",2024-02-02 12:48:27,2024-02-02 12:49:26,59,FALSE,""
"TG10-01448","2024_02_02_CRC_UP_25_b_2","TG10-01448","2024-02-02","12:49:53",2024-02-02 12:49:53,2024-02-02 12:50:52,59,FALSE,""
"TG10-01448","2024_02_02_CRC_UP_26_1","TG10-01448","2024-02-02","12:38:50",2024-02-02 12:38:50,2024-02-02 12:39:49,59,FALSE,""
"TG10-01448","2024_02_02_CRC_UP_26_2","TG10-01448","2024-02-02","12:40:15",2024-02-02 12:40:15,2024-02-02 12:41:14,59,FALSE,""
"TG10-01448","2024_02_02_CRC_UP_27_1","TG10-01448","2024-02-02","12:34:25",2024-02-02 12:34:25,2024-02-02 12:35:24,59,FALSE,""
"TG10-01448","2024_02_02_CRC_UP_27_2","TG10-01448","2024-02-02","12:35:50",2024-02-02 12:35:50,2024-02-02 12:36:49,59,FALSE,""
"TG10-01448","2024_02_02_CRC_UP_29_a_1","TG10-01448","2024-02-02","12:30:05",2024-02-02 12:30:05,2024-02-02 12:31:04,59,FALSE,""
"TG10-01448","2024_02_02_CRC_UP_29_a_2","TG10-01448","2024-02-02","12:31:30",2024-02-02 12:31:30,2024-02-02 12:32:29,59,FALSE,""
"TG10-01448","2024_02_02_CRC_UP_30_b_1","TG10-01448","2024-02-02","12:43:18",2024-02-02 12:43:18,2024-02-02 12:44:17,59,FALSE,""
"TG10-01448","2024_02_02_CRC_UP_30_b_2","TG10-01448","2024-02-02","12:44:43",2024-02-02 12:44:43,2024-02-02 12:45:42,59,FALSE,""
"TG10-01448","2024_02_02_CRC_W_41_1","TG10-01448","2024-02-02","11:42:37",2024-02-02 11:42:37,2024-02-02 11:43:36,59,FALSE,""
"TG10-01448","2024_02_02_CRC_W_41_2","TG10-01448","2024-02-02","11:44:03",2024-02-02 11:44:03,2024-02-02 11:45:02,59,FALSE,""
"TG10-01448","2024_02_02_CRC_W_42_1","TG10-01448","2024-02-02","11:47:02",2024-02-02 11:47:02,2024-02-02 11:48:01,59,FALSE,""
"TG10-01448","2024_02_02_CRC_W_42_2","TG10-01448","2024-02-02","11:48:27",2024-02-02 11:48:27,2024-02-02 11:49:26,59,FALSE,""
"TG10-01448","2024_02_02_CRC_W_43_1","TG10-01448","2024-02-02","11:51:29",2024-02-02 11:51:29,2024-02-02 11:52:28,59,FALSE,""
"TG10-01448","2024_02_02_CRC_W_43_2","TG10-01448","2024-02-02","11:52:55",2024-02-02 11:52:55,2024-02-02 11:53:54,59,FALSE,""
"TG10-01448","2024_02_02_CRC_W_47_1","TG10-01448","2024-02-02","11:37:53",2024-02-02 11:37:53,2024-02-02 11:38:52,59,FALSE,""
"TG10-01448","2024_02_02_CRC_W_47_2","TG10-01448","2024-02-02","11:39:19",2024-02-02 11:39:19,2024-02-02 11:40:18,59,FALSE,""
"TG10-01448","2024_02_02_CRC_W_48_1","TG10-01448","2024-02-02","11:32:52",2024-02-02 11:32:52,2024-02-02 11:33:51,59,FALSE,""
"TG10-01448","2024_02_02_CRC_W_48_2","TG10-01448","2024-02-02","11:34:17",2024-02-02 11:34:17,2024-02-02 11:35:16,59,FALSE,""
