"InstrumentSerialNumber","Plot_ID","SN","Date","Time_start","First_Timestamp","Last_Timestamp","Total_Time","drop","Notes"
"TG10-01028","2023_01_05_OWC_TR_58_1","TG10-01028","2023-01-05","11:06:12",2023-01-05 11:06:12,2023-01-05 11:07:11,59,FALSE,""
"TG10-01028","2023_01_05_OWC_TR_58_2","TG10-01028","2023-01-05","11:07:38",2023-01-05 11:07:38,2023-01-05 11:08:37,59,FALSE,""
"TG10-01028","2023_01_05_OWC_TR_60_1","TG10-01028","2023-01-05","11:20:34",2023-01-05 11:20:34,2023-01-05 11:21:33,59,FALSE,""
"TG10-01028","2023_01_05_OWC_TR_60_2","TG10-01028","2023-01-05","11:22:00",2023-01-05 11:22:00,2023-01-05 11:22:59,59,FALSE,""
"TG10-01028","2023_01_05_OWC_TR_61_1","TG10-01028","2023-01-05","11:27:15",2023-01-05 11:27:15,2023-01-05 11:28:14,59,FALSE,""
"TG10-01028","2023_01_05_OWC_TR_61_2","TG10-01028","2023-01-05","11:28:40",2023-01-05 11:28:40,2023-01-05 11:29:39,59,FALSE,""
"TG10-01028","2023_01_05_OWC_TR_63_1","TG10-01028","2023-01-05","11:11:06",2023-01-05 11:11:06,2023-01-05 11:12:05,59,FALSE,""
"TG10-01028","2023_01_05_OWC_TR_63_2","TG10-01028","2023-01-05","11:12:31",2023-01-05 11:12:31,2023-01-05 11:13:30,59,FALSE,""
"TG10-01028","2023_01_05_OWC_TR_64_1","TG10-01028","2023-01-05","11:33:50",2023-01-05 11:33:50,2023-01-05 11:34:49,59,FALSE,""
"TG10-01028","2023_01_05_OWC_TR_64_2","TG10-01028","2023-01-05","11:35:15",2023-01-05 11:35:15,2023-01-05 11:36:14,59,FALSE,""
"TG10-01028","2023_01_12_PTR_OWC_TR_64_1","TG10-01028","2023-01-12","10:14:05",2023-01-12 10:14:05,2023-01-12 10:15:04,59,FALSE,""
"TG10-01028","2023_01_12_PTR_OWC_TR_64_2","TG10-01028","2023-01-12","10:15:30",2023-01-12 10:15:30,2023-01-12 10:16:29,59,FALSE,""
"TG10-01028","2023_01_12_PTR_TR_15_1","TG10-01028","2023-01-12","10:24:36",2023-01-12 10:24:36,2023-01-12 10:25:35,59,FALSE,""
"TG10-01028","2023_01_12_PTR_TR_15_2","TG10-01028","2023-01-12","10:26:01",2023-01-12 10:26:01,2023-01-12 10:26:52,51,FALSE,""
