"","Site","Zone_1","min_ch4","max_ch4","mean_ch4","sd_ch4","min_co2","max_co2","mean_co2","sd_co2"
"1","CRC","Upland",-2.997,0.495,-0.789,0.752,0.116,11.787,3.125,2.229
"2","CRC","Transition",-3.419,60.478,1.713,7.492,0.259,18.145,5.437,3.66
"3","CRC","Wetland",-0.793,2723.561,103.857,388.1,0.026,8.696,2.349,1.813
"4","OWC","Upland",-13.961,0.742,-0.496,1.052,0.421,10.834,3.979,2.618
"5","OWC","Transition",-1.453,109.054,2.562,12.963,0.218,14.43,3.776,3.381
"6","OWC","Wetland",-20.56,1702.841,49.169,196.263,0.034,14.846,3.041,3.53
"7","PTR","Upland",-3.603,52.143,-0.813,4.098,0.152,7.564,3.531,1.91
"8","PTR","Transition",-13.456,0.387,-0.943,1.305,0.01,30.766,5.26,5.102
"9","PTR","Wetland",-1.7,289.518,6.752,35.55,0.171,12.043,4.802,2.728
