"InstrumentSerialNumber","Plot_ID","SN","Date","Time_start","First_Timestamp","Last_Timestamp","Total_Time","drop","Notes"
"TG10-01426","2025_02_07_PTR_TR_10_1","TG10-01426","2025-02-07","11:10:23",2025-02-07 11:10:23,2025-02-07 11:11:22,59,FALSE,""
"TG10-01426","2025_02_07_PTR_TR_10_2","TG10-01426","2025-02-07","11:11:48",2025-02-07 11:11:48,2025-02-07 11:12:47,59,FALSE,""
"TG10-01426","2025_02_07_PTR_TR_12_1","TG10-01426","2025-02-07","11:06:56",2025-02-07 11:06:56,2025-02-07 11:07:55,59,FALSE,""
"TG10-01426","2025_02_07_PTR_TR_12_2","TG10-01426","2025-02-07","11:08:20",2025-02-07 11:08:20,2025-02-07 11:09:19,59,FALSE,""
"TG10-01426","2025_02_07_PTR_TR_13_1","TG10-01426","2025-02-07","11:18:40",2025-02-07 11:18:40,2025-02-07 11:19:39,59,FALSE,""
"TG10-01426","2025_02_07_PTR_TR_13_2","TG10-01426","2025-02-07","11:20:05",2025-02-07 11:20:05,2025-02-07 11:21:04,59,FALSE,""
"TG10-01426","2025_02_07_PTR_TR_13_a_1","TG10-01426","2025-02-07","11:21:37",2025-02-07 11:21:37,2025-02-07 11:22:36,59,FALSE,""
"TG10-01426","2025_02_07_PTR_TR_13_a_2","TG10-01426","2025-02-07","11:23:01",2025-02-07 11:23:01,2025-02-07 11:24:00,59,FALSE,""
"TG10-01426","2025_02_07_PTR_TR_14_1","TG10-01426","2025-02-07","11:15:12",2025-02-07 11:15:12,2025-02-07 11:16:11,59,FALSE,""
"TG10-01426","2025_02_07_PTR_TR_14_2","TG10-01426","2025-02-07","11:16:37",2025-02-07 11:16:37,2025-02-07 11:17:36,59,FALSE,""
"TG10-01426","2025_02_07_PTR_TR_16_1","TG10-01426","2025-02-07","10:59:57",2025-02-07 10:59:57,2025-02-07 11:00:56,59,FALSE,""
