"Plot_clean","Date","Month","Site","Zone","Replicate","Row_ID","TIMESTAMP","HM81_AIC","HM81_flux.estimate","HM81_p.value","HM81_r.squared","HM81_RMSE","lin_AIC","lin_flux.estimate","lin_flux.std.error","lin_int.estimate","lin_int.std.error","lin_p.value","lin_r.squared","lin_RMSE","poly_AIC","poly_r.squared","poly_RMSE","rob_AIC","rob_converged","rob_flux.estimate","rob_flux.std.error","rob_RMSE","TIMESTAMP_min","TIMESTAMP_max","CH4_lin_pass","CH4_HM81_pass","CH4_poly_pass","CH4_neg_flux","CH4_rejected_model","CH4_rejected_manual","CH4_flux_rejected"
"2023-01-12_PTR_TR_1_26",2023-01-12,"Jan","PTR","TR",1,26,2023-01-12 11:25:29.5,928.001488622825,0.0155489127309605,1.38549392157501e-133,0.63666863138447,0.522602308421309,445.57330561698,0.00914606222862985,0.00016480519526136,6336.33562219853,0.0284737244751779,4.71639049122432e-238,0.837404047019703,0.349602671178995,405.874708700134,0.848825119977997,0.337665861283913,445.833959934174,TRUE,0.00914779106043271,0.000168566456391501,0.357243212266554,2023-01-12 11:23:00,2023-01-12 11:27:59,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"2023-01-12_PTR_TR_2_27",2023-01-12,"Jan","PTR","TR",2,27,2023-01-12 11:41:49.5,NA,NA,NA,NA,NA,574.473222088378,0.017116600616051,0.000116455754081651,6346.90883238113,0.0254991568068168,0,0.966101624425727,0.352175563233123,406.615482305662,0.972962129615649,0.314941375722216,574.891248324907,TRUE,0.017057138526578,0.000122612721156554,0.347300274849586,2023-01-12 11:38:40,2023-01-12 11:44:59,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"2023-01-12_PTR_TR_3_28",2023-01-12,"Jan","PTR","TR",3,28,2023-01-12 11:55:29.5,1213.06648613074,0.0325092825245772,8.67947369308613e-139,0.650926254255023,0.662734816361585,349.957197179295,0.0123837821858546,0.00015218304675164,6364.84091604519,0.0262929705348633,0,0.917171871146314,0.322827199519756,341.530268630092,0.918869726578022,0.320036951866937,350.012233053233,TRUE,0.0123656814903384,0.000154934993901054,0.349717021974815,2023-01-12 11:53:00,2023-01-12 11:57:59,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"2023-01-12_PTR_TR_4_29",2023-01-12,"Jan","PTR","TR",4,29,2023-01-12 12:07:29.5,1054.41061314981,0.00903497568052042,9.67401464799811e-106,0.549887759025035,0.580657863027775,321.809811630334,0.00929132970915653,0.000148654957142398,6391.46258993333,0.0256834154095046,2.16363339502428e-264,0.86724628559449,0.315343032836819,319.324486393522,0.868673476890155,0.314169184573908,321.945127433726,TRUE,0.00930976964855855,0.000148583905373705,0.301926209242127,2023-01-12 12:05:00,2023-01-12 12:09:59,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"2023-01-12_PTR_TR_4_30",2023-01-12,"Jan","PTR","TR",4,30,2023-01-12 12:18:29.5,1604.60127964393,0.0156159522972276,4.36370937794837e-127,0.618042777159629,0.918419198325455,244.969882982094,0.0167881402217086,0.000139434453403039,6403.27586668627,0.0240903704658636,0,0.960383080287597,0.295783499341629,239.019953983183,0.961034638785781,0.293832889156309,245.108489156262,TRUE,0.0167818487018267,0.00014651291379219,0.306289855590603,2023-01-12 12:16:00,2023-01-12 12:20:59,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"2023-01-12_PTR_TR_5_31",2023-01-12,"Jan","PTR","TR",5,31,2023-01-12 12:26:29.5,697.403081800189,0.0252277622291088,5.75733807884939e-146,0.66968361503693,0.431235968603096,593.507776987932,0.00735065751718842,0.000186427582812342,6413.95918224215,0.0322094677850037,1.81354570059591e-168,0.722202593028377,0.395470426944234,260.180075763976,0.841670348605167,0.299060123860852,594.03638314778,TRUE,0.00727642763860808,0.000198970759789883,0.371293973603023,2023-01-12 12:24:00,2023-01-12 12:28:59,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"2023-01-12_PTR_TR_6_32",2023-01-12,"Jan","PTR","TR",6,32,2023-01-12 12:39:44.5,NA,NA,NA,NA,NA,462.661383043851,0.0177526899879614,0.000204284898995883,6429.49055440221,0.0317563925401782,7.85346988003412e-319,0.93349726368918,0.370001348196229,271.823807743698,0.953640196971866,0.309501731506031,462.67896925352,TRUE,0.0177787668208851,0.000206077312247228,0.412263238742428,2023-01-12 12:37:30,2023-01-12 12:41:59,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"2023-01-12_PTR_TR_7_33",2023-01-12,"Jan","PTR","TR",7,33,2023-01-12 11:04:57,661.978487807484,0.0230187307923985,1.18838057437831e-156,0.689739604028543,0.414945036157827,769.85507464343,0.00670318526638209,0.000208458967625437,6372.5062653961,0.0366176437848878,2.77284699620758e-133,0.629720252027223,0.453306954741558,341.592275628405,0.817704088121833,0.318589416630083,770.671590726775,TRUE,0.00659656346395638,0.000213344992780067,0.456467295995527,2023-01-12 11:02:25,2023-01-12 11:07:29,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"2023-01-12_PTR_TR_8_34",2023-01-12,"Jan","PTR","TR",8,34,2023-01-12 11:18:54.5,896.33766361243,0.0195193367163895,1.04586492756307e-114,0.647076973705425,0.590611487741706,212.018730249752,0.0131163647351687,0.000184618424280706,6342.97585992522,0.0265674187524589,8.75378961476356e-263,0.910197563216981,0.297924317677787,177.460176628012,0.916862571518644,0.28723279180609,212.321465587087,TRUE,0.0132170762869295,0.000182039790076695,0.261014456128585,2023-01-12 11:16:50,2023-01-12 11:20:59,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"2023-01-12_PTR_UP_301_18",2023-01-12,"Jan","PTR","UP",301,18,2023-01-12 12:33:47,1181.95922575333,0.0185471641735795,3.64402591542511e-104,0.589527531575936,0.735170616223631,346.594969371261,0.0143223340836514,0.000189818909672293,6463.21542160025,0.0289596726688785,5.67621847644662e-285,0.91512752091434,0.334294759090333,302.102597177615,0.922548274766108,0.319952686631313,346.933712095297,TRUE,0.0142939570086628,0.00019067819904865,0.342440359821209,2023-01-12 12:31:35,2023-01-12 12:35:59,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
