"Plot_clean","Date","Month","Site","Zone","Replicate","Plot_ID","TIMESTAMP","HM81_AIC","HM81_flux.estimate","HM81_p.value","HM81_r.squared","HM81_RMSE","lin_AIC","lin_flux.estimate","lin_flux.std.error","lin_int.estimate","lin_int.std.error","lin_p.value","lin_r.squared","lin_RMSE","poly_AIC","poly_r.squared","poly_RMSE","rob_AIC","rob_converged","rob_flux.estimate","rob_flux.std.error","rob_RMSE","TIMESTAMP_min","TIMESTAMP_max"
"2023-01-12_PTR_TR_1_26",2023-01-12,"Jan","PTR","TR",1,26,2023-01-12 11:25:29.5,-1756.76760924751,0.00138847551288653,7.66616871284715e-156,0.693855236720767,0.0557854559136354,-3130.10341540962,0.00114408427954191,8.37317832624207e-06,14.5824641180853,0.00144665083078753,0,0.968963464891482,0.017762094844583,-3284.18892115979,0.976152265590525,0.0155958336606993,-3129.77819887939,TRUE,0.00113964150729351,9.11440521631325e-06,0.0191332703156569,2023-01-12 11:23:00,2023-01-12 11:27:59
"2023-01-12_PTR_TR_2_27",2023-01-12,"Jan","PTR","TR",2,27,2023-01-12 11:41:49.5,-483.320491160459,0.00358507563194322,4.58007659321501e-198,0.695794344695506,0.175600739739736,-3687.64215801679,0.00289202607035879,7.05324737395628e-06,14.2335626594986,0.00154437934135637,0,0.995511622621297,0.021329829394295,-4242.33314244769,0.997848056183267,0.0147887636652042,-3685.29560280921,TRUE,0.00290221302963377,7.30714648683785e-06,0.0199875936302815,2023-01-12 11:38:40,2023-01-12 11:44:59
"2023-01-12_PTR_TR_3_28",2023-01-12,"Jan","PTR","TR",3,28,2023-01-12 11:55:29.5,-961.633468636203,0.00217448507844475,1.27435629594842e-142,0.661071346880148,0.108215539299478,-3393.29475180742,0.00213648455165349,6.72416280047305e-06,14.4266677714481,0.00116174710756706,0,0.994111385050224,0.0142640240968118,-3404.4861426283,0.994258607179968,0.0141081990458453,-3393.06729393126,TRUE,0.00213935182578729,7.13064594503959e-06,0.0143840199661575,2023-01-12 11:53:00,2023-01-12 11:57:59
"2023-01-12_PTR_TR_4_29",2023-01-12,"Jan","PTR","TR",4,29,2023-01-12 12:07:29.5,-390.452698499718,-0.00632842403179764,7.78274202065e-168,0.720846831171176,0.174183431448752,-1860.84612445482,-0.00375440310431242,2.41129237004781e-05,17.9139689633055,0.00416603824078218,0,0.975926662181999,0.0511509514142052,-2651.1452887044,0.993593757067893,0.0264310687798798,-1860.83351972634,TRUE,-0.00375315055123439,2.48666967963842e-05,0.064649433321314,2023-01-12 12:05:00,2023-01-12 12:09:59
"2023-01-12_PTR_TR_4_30",2023-01-12,"Jan","PTR","TR",4,30,2023-01-12 12:18:29.5,-1665.1005994153,0.00139895544403706,1.37654184864328e-143,0.663582500006626,0.0602138482697794,-3234.80091607377,0.00118194777533845,7.67359813635921e-06,14.4623685927878,0.00132578295678983,0,0.975413789089245,0.0162780694004876,-3303.36066523566,0.978214320757965,0.0153486473887904,-3234.63626653335,TRUE,0.00118124400851123,7.60946087979346e-06,0.0149113433597756,2023-01-12 12:16:00,2023-01-12 12:20:59
"2023-01-12_PTR_TR_5_31",2023-01-12,"Jan","PTR","TR",5,31,2023-01-12 12:26:29.5,-894.617674717586,0.00317520753909623,4.00421133575083e-161,0.706049860315594,0.114430936630465,-2836.65504234391,0.00241897137254529,1.06928345792942e-05,14.3660635303719,0.00184742249894874,0,0.98845004877515,0.0226828015067607,-3309.41441783053,0.994782166617768,0.0152714116102524,-2836.16300672906,TRUE,0.00241360846049706,1.09825453996842e-05,0.0239543355731753,2023-01-12 12:24:00,2023-01-12 12:28:59
"2023-01-12_PTR_TR_6_32",2023-01-12,"Jan","PTR","TR",6,32,2023-01-12 12:39:44.5,-1286.22319216066,0.00173932010312918,6.24833835508018e-137,0.684643935167973,0.0732713065329476,-2967.5995232648,0.00165917752377692,8.52794209504757e-06,14.3306000279526,0.00132568133063863,0,0.9859862009225,0.015445831228918,-3062.00266732261,0.988320741999541,0.0141269923841942,-2967.59419197913,TRUE,0.00165972393431042,8.86665467201337e-06,0.0147620821287136,2023-01-12 12:37:30,2023-01-12 12:41:59
"2023-01-12_PTR_TR_7_33",2023-01-12,"Jan","PTR","TR",7,33,2023-01-12 11:04:57,NA,NA,NA,NA,NA,-3109.00905359819,0.00294807391741076,8.67413316488889e-06,14.2849185587113,0.0015236874766899,0,0.994764006778986,0.0188624405790194,-3413.12716737169,0.99684040172474,0.0146767453302639,-3108.47087006862,TRUE,0.00295049728989145,9.19935725563511e-06,0.0188374964586275,2023-01-12 11:02:25,2023-01-12 11:07:29
"2023-01-12_PTR_TR_8_34",2023-01-12,"Jan","PTR","TR",8,34,2023-01-12 11:18:54.5,NA,NA,NA,NA,NA,-2830.84339523001,0.00124634366401745,8.80596205308569e-06,15.2301035636209,0.00126721740960628,0,0.97574268947737,0.0142104464729537,-2844.69470980879,0.976593461471069,0.0139871370036177,-2830.28038631289,TRUE,0.00124457052488333,8.43345707533189e-06,0.0128524375247456,2023-01-12 11:16:50,2023-01-12 11:20:59
"2023-01-12_PTR_UP_301_18",2023-01-12,"Jan","PTR","UP",301,18,2023-01-12 12:33:47,-361.634726384499,0.00405501686610323,2.7359551113518e-130,0.673084077938741,0.171379756706753,-2854.23472118747,0.00390502375243975,9.26663077858832e-06,13.5359966715341,0.00141376111871347,0,0.997035571809774,0.0163196918002286,-3021.11415415545,0.997852573526361,0.0139163302379511,-2854.04780573266,TRUE,0.00390107532101139,9.6386816862893e-06,0.0162587429852708,2023-01-12 12:31:35,2023-01-12 12:35:59
"2023-01-12_PTR_UP_302_21",2023-01-12,"Jan","PTR","UP",302,21,2023-01-12 13:00:44.5,-850.508201692544,0.00254582213215984,5.78973751072758e-130,0.665283290704668,0.109684590259589,-3030.98870863765,0.0024207254191258,8.04181164879435e-06,13.6651014195182,0.00125011162699029,0,0.99409760815948,0.0145653504817016,-3105.60991020924,0.994897335533407,0.0135679479673244,-3028.42039325732,TRUE,0.00242942886813082,8.23809685244925e-06,0.0127615094941705,2023-01-12 12:58:30,2023-01-12 13:02:59
"2023-01-12_PTR_UP_303_20",2023-01-12,"Jan","PTR","UP",303,20,2023-01-12 13:20:49.5,-1135.60759521004,0.00279633546795403,7.68858796210336e-139,0.703471374984034,0.0808862559010277,-2511.3684527899,0.00195437309885465,1.25889180207941e-05,13.7947498145115,0.00188428391659193,0,0.978959486363579,0.0215461455812636,-2948.29589243119,0.990988401985232,0.0141280543050138,-2511.35613250115,TRUE,0.00195365237377171,1.34125416064942e-05,0.0244241831147636,2023-01-12 13:18:40,2023-01-12 13:22:59
"2023-01-12_PTR_UP_304_25",2023-01-12,"Jan","PTR","UP",304,25,2023-01-12 11:23:44.5,NA,NA,NA,NA,NA,-713.862066215022,0.00235900645988631,9.75236999291849e-05,13.0344936415195,0.00840355937093522,2.85167584282062e-72,0.662556399709996,0.0731411495338295,-885.912364108911,0.81235271448731,0.0547261130641754,-698.006836009394,TRUE,0.0020380101251772,7.30653056662631e-05,0.0573096837616101,2023-01-12 11:22:30,2023-01-12 11:24:59
"2023-01-12_PTR_UP_305_22",2023-01-12,"Jan","PTR","UP",305,22,2023-01-12 12:54:44.5,-267.782863589242,0.00428664485792627,6.06241388647632e-130,0.665226074975361,0.188136804932131,-2721.98664289501,0.00415669824389067,1.07056047324052e-05,13.2664025561174,0.00166420223880131,0,0.996444009522396,0.0193900195448401,-2803.35172469536,0.996963971778852,0.0179497993101252,-2721.31164212372,TRUE,0.00415752774074633,1.09615934289452e-05,0.0173206344764382,2023-01-12 12:52:30,2023-01-12 12:56:59
"2023-01-12_PTR_UP_306_23",2023-01-12,"Jan","PTR","UP",306,23,2023-01-12 12:43:47,NA,NA,NA,NA,NA,-2905.66524285555,0.00307686234944862,8.82775291434174e-06,13.4481914987799,0.00134680383130655,0,0.995672524197337,0.0155467731792562,-2917.19944750669,0.995797520969887,0.015349696931154,-2904.57299225687,TRUE,0.00308468949727515,9.04337619814735e-06,0.0157059045615276,2023-01-12 12:41:35,2023-01-12 12:45:59
"2023-01-12_PTR_UP_307_24",2023-01-12,"Jan","PTR","UP",307,24,2023-01-12 13:29:39.359431,-2419.72903114625,0.000842023158657967,3.78914736454324e-134,0.662374591982473,0.0280076409782848,-3040.8828859795,0.000561779747148069,8.42228868166827e-06,13.4574062509983,0.00135639602467046,1.29805678406989e-268,0.888203410917896,0.0161165932887825,-3205.45158612219,0.917174437064615,0.0138969047825164,-3040.70099801601,TRUE,0.000564682298327896,8.64122959380861e-06,0.0154938753159772,2023-01-12 13:27:20,2023-01-12 13:31:59
"2023-01-12_PTR_UP_308_19",2023-01-12,"Jan","PTR","UP",308,19,2023-01-12 13:09:29.5,NA,NA,NA,NA,NA,-2748.99118439639,7.82249613089153e-05,1.15032208102292e-05,13.6600973614184,0.00198743455513137,2.53611964762337e-11,0.0717797062157566,0.024401880754064,-2914.84695497994,0.300632651037197,0.0212167036056427,-2745.96308236147,TRUE,8.01221811767917e-05,1.12595049583978e-05,0.0209358267118694,2023-01-12 13:07:00,2023-01-12 13:11:59
"2023-01-20_CRC_TR_311_43",2023-01-20,"Jan","CRC","TR",311,43,2023-01-20 12:14:29.5,NA,NA,NA,NA,NA,-2028.53861725323,0.00158338970710731,1.45861049294293e-05,12.7744044765841,0.00150951505248478,4.87004086683474e-276,0.970515844787035,0.0143802277305426,-2086.77573992249,0.975196814033243,0.013226400478153,-2027.95959581898,TRUE,0.00159388001536692,1.39587522966934e-05,0.0142166677540923,2023-01-20 12:13:00,2023-01-20 12:15:59
"2023-01-20_CRC_TR_312_44",2023-01-20,"Jan","CRC","TR",312,44,2023-01-20 12:04:29.5,-1919.58902383454,0.00256018662619974,3.45703306834853e-168,0.721602951053559,0.0487072883279032,-2841.30274092317,0.00103179374303867,1.06515004494693e-05,12.6620370444208,0.00184028111834973,0,0.940089079548964,0.0225951190634085,-3326.18129352432,0.973475702168314,0.0150595171772751,-2841.09261713238,TRUE,0.00103660331845541,1.14076806515846e-05,0.0243854970368557,2023-01-20 12:02:00,2023-01-20 12:06:59
"2023-01-20_CRC_TR_313_45",2023-01-20,"Jan","CRC","TR",313,45,2023-01-20 12:22:29.5,NA,NA,NA,NA,NA,-3378.5379330479,0.00352774212981992,6.80736269753254e-06,12.3768074481232,0.00117612172082776,0,0.997778228838895,0.0144405167505032,-3403.16222313367,0.997881734596299,0.0141237727350208,-3377.58142682986,TRUE,0.00353231270627277,7.16217116100045e-06,0.0145273542788525,2023-01-20 12:20:00,2023-01-20 12:24:59
"2023-01-20_CRC_TR_314_46",2023-01-20,"Jan","CRC","TR",314,46,2023-01-20 11:47:29.5,-1646.09742732772,0.0017006231440993,4.36880367669812e-155,0.692069520147625,0.0611749835424009,-2650.71098155544,0.00123363134314545,1.2484991409248e-05,12.3905797168837,0.00215705703268712,0,0.942284941479765,0.0264845191281617,-3103.57486276771,0.97304743909896,0.0181290481295175,-2648.16156444931,TRUE,0.00121423654602348,1.24194461881524e-05,0.024962588799185,2023-01-20 11:45:00,2023-01-20 11:49:59
"2023-01-20_CRC_TR_315_47",2023-01-20,"Jan","CRC","TR",315,47,2023-01-20 11:55:29.5,NA,NA,NA,NA,NA,-3310.67726256618,0.00256636349062132,7.20341583324152e-06,12.4193260507197,0.00124454861626527,0,0.995310780872725,0.0152806676568693,-3328.88945698874,0.99548120327475,0.0150255691368588,-3310.43918591185,TRUE,0.00256551014426217,7.47411588789201e-06,0.0153478589297925,2023-01-20 11:53:00,2023-01-20 11:57:59
"2023-01-20_CRC_TR_316_48",2023-01-20,"Jan","CRC","TR",316,48,2023-01-20 11:31:29.5,NA,NA,NA,NA,NA,-1366.26198052658,-0.000121014139223808,3.64121096922855e-05,12.384207669578,0.00629099329844474,0.000943402539299559,0.0181355568958468,0.0772413199201505,-1383.94761914926,0.0529891729283101,0.0759851726008513,-1359.62347767646,TRUE,-3.71467025341373e-05,1.30253326555181e-05,0.022858006801869,2023-01-20 11:29:00,2023-01-20 11:33:59
"2023-01-20_CRC_UP_301_35",2023-01-20,"Jan","CRC","UP",301,35,2023-01-20 14:02:54.5,-1299.41176142334,0.0017882547725333,2.49948761408783e-115,0.649097701732672,0.0657203747288734,-2699.44578962928,0.00151777460131478,1.00425051865755e-05,12.8621894442112,0.00144516150896092,0,0.978663061431925,0.0162058934103839,-2860.48114976869,0.984661453249293,0.0137680636488975,-2699.38176224189,TRUE,0.00152011300296194,1.00220529875409e-05,0.0161723788449009,2023-01-20 14:00:50,2023-01-20 14:04:59
"2023-01-20_CRC_UP_302_36",2023-01-20,"Jan","CRC","UP",302,36,2023-01-20 14:09:59.5,-1121.20191815826,0.00189808167809665,1.90748291965141e-120,0.680294627361328,0.0749435952105079,-2177.73623392423,0.00187505086196542,1.64259844233583e-05,12.6724879701682,0.00226893726824283,0,0.964615045936712,0.024932674890077,-2524.51125735605,0.982960990282993,0.0173377287159457,-2177.61613911243,TRUE,0.00187034500063318,1.7609752255386e-05,0.0283527143587228,2023-01-20 14:08:00,2023-01-20 14:11:59
"2023-01-20_CRC_UP_303_37",2023-01-20,"Jan","CRC","UP",303,37,2023-01-20 14:18:44.5,-1214.08587581572,0.0020987716549608,6.56684945864301e-135,0.679144176628816,0.0783325238193761,-3010.92598422318,0.00176074574946919,8.1925973467248e-06,12.8056898232786,0.00127355148885214,0,0.988486615920735,0.0148384539357367,-3076.34199056369,0.989875461499762,0.01394066585097,-3010.81717739729,TRUE,0.00176309231397277,8.33319136357701e-06,0.0149079236584694,2023-01-20 14:16:30,2023-01-20 14:20:59
"2023-01-20_CRC_UP_304_38",2023-01-20,"Jan","CRC","UP",304,38,2023-01-20 14:25:59.5,-300.799537070895,0.00501755732876446,1.22236701454837e-116,0.668363941761186,0.176147476771479,-2469.04766195959,0.00439778744983893,1.21267662076101e-05,12.780619216113,0.00167508205794883,0,0.996378622189727,0.0184069771119689,-2613.95394704223,0.997344499533002,0.0157953486762046,-2468.89169050767,TRUE,0.00440126988062598,1.24125648841264e-05,0.0181570667972435,2023-01-20 14:24:00,2023-01-20 14:27:59
"2023-01-20_CRC_UP_305_39",2023-01-20,"Jan","CRC","UP",305,39,2023-01-20 14:34:29.5,NA,NA,NA,NA,NA,-3170.79361018998,0.00567041439059364,8.09401617719596e-06,12.5867851709577,0.00139841942580523,0,0.998783055170679,0.0171699057886262,-3227.90620238131,0.998900902751898,0.0163447389891975,-3167.45329613163,TRUE,0.00568319506588854,7.72589632422949e-06,0.0166070220761111,2023-01-20 14:32:00,2023-01-20 14:36:59
"2023-01-20_CRC_UP_306_40",2023-01-20,"Jan","CRC","UP",306,40,2023-01-20 14:31:59.5,-2914.61256842093,0.000726645835533326,1.43122014544532e-172,0.664779612148764,0.0318808142517991,-4013.84807772445,0.000509484059986015,5.32881680980951e-06,13.5466849735541,0.00110526606207034,0,0.927174060426599,0.0148596041777037,-4057.7744101553,0.931863853771636,0.0143932439725721,-4013.60395278805,TRUE,0.00050810955198758,5.622817337974e-06,0.0149398250589597,2023-01-20 14:29:00,2023-01-20 14:34:59
"2023-01-20_CRC_UP_307_41",2023-01-20,"Jan","CRC","UP",307,41,2023-01-20 14:15:29.5,NA,NA,NA,NA,NA,-1863.27057783623,0.00275080568872959,1.83496096540655e-05,13.3667660091255,0.00189899991217983,0,0.984319747310196,0.0180906120495288,-1873.3783472127,0.984922344465699,0.0177893530674036,-1862.94509287571,TRUE,0.002761245945101,1.82938693613065e-05,0.0181965337114384,2023-01-20 14:14:00,2023-01-20 14:16:59
"2023-01-20_CRC_UP_308_42",2023-01-20,"Jan","CRC","UP",308,42,2023-01-20 14:02:29.5,-1137.66500746417,0.0025994650167045,3.23965266430816e-153,0.68760603345012,0.0934505130065695,-3035.96173036203,0.00191465728750265,9.05652004226178e-06,13.4642883012275,0.00156471315105288,0,0.986797090353565,0.0192116734750968,-3263.76394207117,0.991028075392398,0.0158635594666874,-3035.19185590195,TRUE,0.00190841766392915,9.33823841963643e-06,0.0182006683567311,2023-01-20 14:00:00,2023-01-20 14:04:59
"2023-01-05_OWC_TR_120_10",2023-01-05,"Jan","OWC","TR",120,10,2023-01-05 13:22:29.5,-1318.43718173021,0.00211359224464981,7.9740632566396e-144,0.664195712056231,0.0803818612965959,-3294.86154991953,0.00158905574542127,7.29898352524668e-06,16.2537647891041,0.00126106003829033,0,0.987540443731425,0.0154833962198277,-3366.04808651193,0.989007898098735,0.0145674244588391,-3294.66917424673,TRUE,0.00159165067823113,7.55303475738381e-06,0.0142926660490719,2023-01-05 13:20:00,2023-01-05 13:24:59
